Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
JAN,19,Abingdon,4,16,496248.09,453021.41,43226.68,136196,92969.27,43226.73,12968.09,10806.74,2161.35
JAN,19,Adams County,12,42,1552543.07,1437598.96,114944.11,442114,327170.12,114943.88,34483.5,28736.24,5747.26
JAN,19,Addieville,1,4,66655.88,59990.41,6665.47,26172,19506.52,6665.48,1999.7,1666.42,333.28
JAN,19,Addison,20,95,6459022.66,5879619.4,579403.26,2029255,1449850.61,579404.39,173822.61,144852.21,28970.4
JAN,19,Albany,2,8,127660.14,115479.05,12181.09,44330,32148.9,12181.1,3654.5,3045.42,609.08
JAN,19,Albers,1,4,137491.81,122381.66,15110.15,48833,33722.89,15110.11,4533.06,3777.55,755.51
JAN,19,Albion,4,17,225945.95,212487.67,13458.28,61586,48127.65,13458.35,4037.64,3364.7,672.94
JAN,19,Aledo,6,24,530468.98,482203.19,48265.79,158477,110211.06,48265.94,14479.94,12066.62,2413.32
JAN,19,Alexander County,2,7,213420.02,193768.31,19651.71,69928,50276.31,19651.69,5895.55,4912.96,982.59
JAN,19,Alexis,1,3,76821.52,71601.83,5219.69,25183,19963.31,5219.69,1565.95,1304.96,260.99
JAN,19,Algonquin,15,67,2123691.98,1933694.35,189997.63,694234,504232.02,190001.98,57001.29,47501.07,9500.22
JAN,19,Alhambra,2,5,91763.33,82503.56,9259.77,28437,19177.18,9259.82,2777.96,2314.97,462.99
JAN,19,Alorton,2,10,1302034.73,1175373.77,126660.96,422039,295363.12,126675.88,38002.91,31669.09,6333.82
JAN,19,Alsey,2,9,251779.21,227284.53,24494.68,80586,56091.32,24494.68,7348.45,6123.71,1224.74
JAN,19,Alsip,14,70,5170403.89,4749638.44,420765.45,1602024,1181061.18,420962.82,126289.39,105241.2,21048.19
JAN,19,Altamont,7,31,801661.27,756329.3,45331.97,232796,187464.08,45331.92,13599.75,11333.14,2266.61
JAN,19,Alto Pass,1,4,17016.94,15838.83,1178.11,5191,4012.59,1178.41,353.56,294.63,58.93
JAN,19,Alton,31,137,6550042.12,6018371.46,531670.66,2001580,1469887.58,531692.42,159508.87,132924.12,26584.75
JAN,19,Altona,1,5,107877.75,99093.1,8784.65,34163,25378.35,8784.65,2635.4,2196.16,439.24
JAN,19,Amboy,6,28,807994.86,742789.43,65205.43,251979,186773.48,65205.52,19561.84,16301.52,3260.32
JAN,19,Andalusia,1,4,60845.3,55740.82,5104.48,17818,12713.43,5104.57,1531.43,1276.19,255.24
JAN,19,Andover,1,5,179128.4,163346.8,15781.6,61363,45581.4,15781.6,4734.49,3945.41,789.08
JAN,19,Anna,10,47,1442925.75,1328325.26,114600.49,412390,297789.59,114600.41,34380.46,28650.38,5730.08
JAN,19,Annawan,4,20,942787.38,875241.87,67545.51,304954,237011.49,67942.51,20383.02,16985.86,3397.16
JAN,19,Antioch,15,73,4913879.74,4511145.79,402733.95,1618914,1216180.25,402733.75,120820.71,100683.95,20136.76
JAN,19,Arcola,3,13,640285.12,598793.91,41491.21,168476,126985.08,41490.92,12447.39,10372.81,2074.58
JAN,19,Arenzville,1,2,24899.91,21994.4,2905.51,8309,5403.59,2905.41,871.66,726.38,145.28
JAN,19,Argenta,2,10,255990.93,240159.73,15831.2,73030,57198.8,15831.2,4749.39,3957.82,791.57
JAN,19,Arlington,2,10,331488.79,296204.66,35284.13,104825,69540.87,35284.13,10585.27,8821.06,1764.21
JAN,19,Aroma Park,4,15,547165.16,502962.78,44202.38,180217,136014.51,44202.49,13260.86,11050.71,2210.15
JAN,19,Arthur,3,14,451565.87,419683.74,31882.13,147949,116068.61,31880.39,9564.24,7970.22,1594.02
JAN,19,Ashkum,2,6,158817.97,147412.88,11405.09,52946,41540.75,11405.25,3421.63,2851.36,570.27
JAN,19,Ashland,2,9,197557.65,180016.8,17540.85,62588,45047.19,17540.81,5262.39,4385.33,877.06
JAN,19,Ashley,4,20,599804.75,553690.64,46114.11,185762,139648.57,46113.43,13834.1,11528.42,2305.68
JAN,19,Ashmore,3,15,513623.6,476160.93,37462.67,139037,101574.59,37462.41,11238.8,9365.67,1873.13
JAN,19,Ashton,3,15,418327.14,384233.6,34093.54,132196,98102.22,34093.78,10228.33,8523.6,1704.73
JAN,19,Assumption,4,19,287499.86,270165.2,17334.66,98289,80954.4,17334.6,5200.54,4333.79,866.75
JAN,19,Astoria,1,3,53190.13,51350.7,1839.43,15178,13338.64,1839.36,551.79,459.83,91.96
JAN,19,Athens,4,20,597977.7,545990.55,51987.15,190417,138424.64,51992.36,15597.91,12998.27,2599.64
JAN,19,Atkinson,1,5,50930.02,44173.9,6756.12,19458,12701.88,6756.12,2026.86,1689.05,337.81
JAN,19,Atlanta,4,16,336668.59,311305.93,25362.66,95582,70219,25363,7609.09,6340.91,1268.18
JAN,19,Atwood,2,10,226416.72,209442.32,16974.4,59893,42918.8,16974.2,5092.35,4243.63,848.72
JAN,19,Auburn,7,28,1294699.76,1190619.19,104080.57,364409,260328.05,104080.95,31224.69,26020.59,5204.1
JAN,19,Augusta,3,10,179521.09,161951.47,17569.62,47741,30171.43,17569.57,5271,4392.51,878.49
JAN,19,Aurora,29,137,8669985.02,7976851.49,693133.53,2739905,2046749.75,693155.25,207947.98,173290.02,34657.96
JAN,19,Ava,2,7,175761.73,162819.54,12942.19,41149,28206.71,12942.29,3882.72,3235.61,647.11
JAN,19,Aviston,3,8,221335.62,210146.62,11189,71800,60610.99,11189.01,3356.7,2797.24,559.46
JAN,19,Avon,2,9,213461.62,197084.32,16377.3,62048,45670.61,16377.39,4913.35,4094.46,818.89
JAN,19,Baldwin,2,7,47674.69,43560.48,4114.21,15008,10893.78,4114.22,1234.32,1028.6,205.72
JAN,19,Banner,2,8,220243.16,205576.65,14666.51,74313,59646.49,14666.51,4399.99,3666.66,733.33
JAN,19,Barry,4,19,650746.96,586924.55,63822.41,219219,155622.79,63596.21,19079.18,15899.32,3179.86
JAN,19,Bartelso,4,11,172653.26,160165.81,12487.45,60020,47532.42,12487.58,3746.33,3121.95,624.38
JAN,19,Bartlett,13,59,4266486.51,3897644.55,368841.96,1340610,971677.07,368932.93,110680.36,92233.67,18446.69
JAN,19,Bartonville,18,87,2942033.21,2694525.37,247507.84,934637,687129.06,247507.94,74253.3,61877.81,12375.49
JAN,19,Basco,1,3,105409.1,96743.01,8666.09,38068,29402.03,8665.97,2599.87,2166.56,433.31
JAN,19,Batavia,6,30,1146859.46,1061093.2,85766.26,374477,288639.02,85837.98,25751.67,21459.74,4291.93
JAN,19,Batchtown,1,5,65124.84,57633.55,7491.29,19796,12304.76,7491.24,2247.42,1872.85,374.57
JAN,19,Bath,3,10,91361.48,82815.93,8545.55,31929,23383.3,8545.7,2563.73,2136.44,427.29
