Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
APR,19,Abingdon,4,16,588826.49,542878.41,45948.08,171462,125513.92,45948.08,13784.56,11487.14,2297.42
APR,19,Adams County,12,44,1644296.57,1498038.16,146258.41,510903,364644.64,146258.36,43877.88,36564.92,7312.96
APR,19,Addieville,1,4,77777.97,70326.67,7451.3,28397,20945.7,7451.3,2235.36,1862.81,372.55
APR,19,Addison,22,105,8019358.08,7332562.48,686795.6,2600313,1913516.8,686796.2,206040.1,171700.1,34340
APR,19,Albany,2,8,145230.43,134195.86,11034.57,50667,39632.43,11034.57,3310.5,2758.76,551.74
APR,19,Albers,1,4,115446.19,107981.94,7464.25,40317,32852.73,7464.27,2239.3,1866.08,373.22
APR,19,Albion,4,17,238489.62,220113.96,18375.66,60382,42006.34,18375.66,5512.77,4594,918.77
APR,19,Aledo,6,24,506011.26,456942.26,49069,154476,105407.44,49068.56,14720.71,12267.25,2453.46
APR,19,Alexander County,3,13,333101.28,307029.09,26072.19,107260,81188.05,26071.95,7821.79,6518.15,1303.64
APR,19,Alexis,1,3,86871.38,80927.62,5943.76,29144,23200.24,5943.76,1783.18,1485.99,297.19
APR,19,Algonquin,17,77,2591919.04,2366965.75,224953.29,859200,634222.51,224977.49,67493.72,56244.8,11248.92
APR,19,Alhambra,2,6,184662.34,165033.46,19628.88,66444,46814.97,19629.03,5888.77,4907.31,981.46
APR,19,Alorton,2,10,1394143.18,1253826.15,140317.03,436732,296450.93,140281.07,42084.43,35070.37,7014.06
APR,19,Alsey,1,5,220468.09,205704.04,14764.05,72586,57821.95,14764.05,4429.27,3691.06,738.21
APR,19,Alsip,14,70,5757127.6,5295574.68,461552.92,1821033,1359454.67,461578.33,138474.16,115395.16,23079
APR,19,Altamont,8,36,1046382.98,961192.92,85190.06,290482,205291.94,85190.06,25557.35,21297.82,4259.53
APR,19,Alto Pass,1,4,25035.07,22548.63,2486.44,8579,6092.63,2486.37,745.96,621.63,124.33
APR,19,Alton,32,138,7317036.83,6750575.37,566461.46,2261146,1694683.99,566462.01,169939.63,141616.38,28323.25
APR,19,Altona,1,5,145202.69,131117.86,14084.83,43412,29327.17,14084.83,4225.5,3521.25,704.25
APR,19,Amboy,6,28,1072395.68,995437.2,76958.48,343167,266207.76,76959.24,23087.88,19239.9,3847.98
APR,19,Andalusia,1,4,95443.57,88858.68,6584.89,26753,20168.26,6584.74,1975.48,1646.23,329.25
APR,19,Andover,1,5,266450.74,243005.36,23445.38,87038,63592.62,23445.38,7033.65,5861.38,1172.27
APR,19,Anna,10,47,1726987.5,1597851.41,129136.09,495359,366222.92,129136.08,38741.16,32284.3,6456.86
APR,19,Annawan,4,20,968139.35,888576.58,79562.77,317700,238137.44,79562.56,23868.9,19890.74,3978.16
APR,19,Antioch,15,72,5564883.61,5106410.8,458472.81,1880452,1421979.58,458472.42,137542.38,114618.68,22923.7
APR,19,Arcola,3,13,654836.32,605350.49,49485.83,183909,134423.21,49485.79,14845.87,12371.57,2474.3
APR,19,Arenzville,1,2,32690.19,29375.68,3314.51,8956,5641.49,3314.51,994.37,828.64,165.73
APR,19,Argenta,2,10,298549.96,275476.96,23073,89969,66896.06,23072.94,6921.94,5768.28,1153.66
APR,19,Arlington,2,10,298927.13,275867.63,23059.5,103302,80242.56,23059.44,6917.98,5764.99,1152.99
APR,19,Aroma Park,4,15,726243.77,661688.59,64555.18,240517,175837.67,64679.33,19403.9,16169.92,3233.98
APR,19,Arthur,3,14,442096.37,404045.11,38051.26,143960,105908.6,38051.4,11415.57,9512.98,1902.59
APR,19,Ashkum,2,6,237097.13,216613.04,20484.09,87896,67411.76,20484.24,6145.4,5121.17,1024.23
APR,19,Ashland,2,9,216920.82,196012.29,20908.53,66106,45196.99,20909.01,6272.82,5227.36,1045.46
APR,19,Ashley,4,20,634366.66,595392.14,38974.52,195944,156968.9,38975.1,11692.76,9743.96,1948.8
APR,19,Ashmore,4,20,575378.24,525017.51,50360.73,183220,132859.41,50360.59,15108.18,12590.16,2518.02
APR,19,Ashton,3,15,476295.95,430269.86,46026.09,153874,107847.11,46026.89,13808.21,11506.86,2301.35
APR,19,Assumption,4,19,396994.35,360912.49,36081.86,119327,83245.29,36081.71,10824.64,9020.55,1804.09
APR,19,Astoria,1,3,85328.57,80430.55,4898.02,24165,19267.01,4897.99,1469.44,1224.54,244.9
APR,19,Athens,4,20,645467.86,595828.61,49639.25,205839,156198.49,49640.51,14892.25,12410.21,2482.04
APR,19,Atkinson,1,5,49302.91,45860.2,3442.71,19121,15678.24,3442.76,1032.91,860.76,172.15
APR,19,Atlanta,4,16,386268.79,362739.76,23529.03,115142,91613.47,23528.53,7058.74,5882.29,1176.45
APR,19,Atwood,2,10,307808.07,279473.67,28334.4,91484,63149.9,28334.1,8500.21,7083.51,1416.7
APR,19,Auburn,9,38,1585452.86,1458509.99,126942.87,475703,348760.4,126942.6,38083,31735.83,6347.17
APR,19,Augusta,3,10,235945.14,217086.86,18858.28,69995,51136.45,18858.55,5657.69,4714.74,942.95
APR,19,Aurora,29,138,9625078.48,8799412.51,825665.97,2998033,2172266.75,825766.25,247731.3,206442.8,41288.5
APR,19,Ava,2,7,143826.11,128254.59,15571.52,38777,23205.34,15571.66,4671.57,3892.97,778.6
APR,19,Aviston,3,9,175638.68,158364.4,17274.28,55601,38326.89,17274.11,5182.25,4318.54,863.71
