Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
MAR,18,Abingdon,4,15,658159.94,605274.38,52885.56,172688,119802.11,52885.89,15866,13221.65,2644.35
MAR,18,Adams County,11,39,1800957.28,1674110.28,126847,542455,415608.53,126846.47,38054.25,31711.88,6342.37
MAR,18,Addieville,1,4,88267.9,86382.08,1885.82,29939,28053.13,1885.87,565.79,471.5,94.29
MAR,18,Addison,18,87,7704443.06,7054838.25,649604.81,2420453,1770816.83,649636.17,194891.64,162409.72,32481.92
MAR,18,Albany,2,8,197636.72,180409.5,17227.22,63807,46579.78,17227.22,5168.21,4306.84,861.37
MAR,18,Albers,1,3,164795.79,149589.44,15206.35,50973,35766.65,15206.35,4561.93,3801.61,760.32
MAR,18,Albion,3,10,130642.63,122674.76,7967.87,29601,21632.87,7968.13,2390.56,1992.13,398.43
MAR,18,Aledo,4,14,488803.83,447018.4,41785.43,136668,94881.87,41786.13,12536.01,10446.69,2089.32
MAR,18,Alexander County,3,12,487667.69,453149.14,34518.55,142831,108312.56,34518.44,10355.58,8629.66,1725.92
MAR,18,Alexis,2,8,178216.47,161837.95,16378.52,47606,31227.05,16378.95,4913.78,4094.82,818.96
MAR,18,Algonquin,15,69,2408508.24,2210257.6,198250.64,788868,590617.31,198250.69,59475.82,49563.19,9912.63
MAR,18,Alhambra,2,5,101812.28,92936.54,8875.74,31685,22809.26,8875.74,2662.75,2218.96,443.79
MAR,18,Alorton,2,10,1779560.94,1634804.05,144756.89,530874,386261.88,144612.12,43383.81,36153.18,7230.63
MAR,18,Alsey,1,5,130106.71,121703.82,8402.89,43177,34774.11,8402.89,2520.91,2100.76,420.15
MAR,18,Alsip,12,60,5916683.29,5430421.42,486261.87,1924299,1438034.24,486264.76,145879.97,121566.64,24313.33
MAR,18,Altamont,7,31,666570.12,607100,59470.12,182898,123427.64,59470.36,17841.27,14867.72,2973.55
MAR,18,Alton,31,134,8080099.01,7406025.13,674073.88,2363464,1689389.3,674074.7,202223.9,168519.95,33703.95
MAR,18,Altona,1,5,195503.67,179367.85,16135.82,51647,35511.25,16135.75,4840.72,4033.94,806.78
MAR,18,Amboy,6,28,1024518.5,943182.73,81335.77,313249,231892.48,81356.52,24407.27,20339.41,4067.86
MAR,18,Andalusia,1,3,63061.03,59271.22,3789.81,18112,14322.19,3789.81,1136.95,947.46,189.49
MAR,18,Anna,9,42,1491786.95,1365005,126781.95,441885,315102.45,126782.55,38035.22,31696.02,6339.2
MAR,18,Annawan,3,15,849986.7,799014.78,50971.92,259326,208354.47,50971.53,15291.61,12743.02,2548.59
MAR,18,Antioch,14,62,4823207.31,4431133.41,392073.9,1486659,1094584.91,392074.09,117622.64,98018.86,19603.78
MAR,18,Arcola,2,8,299119.67,278289.96,20829.71,105531,84701.39,20829.61,6248.96,5207.47,1041.49
MAR,18,Arenzville,1,2,37770.42,35163.74,2606.68,12058,9451.22,2606.78,782.07,651.72,130.35
MAR,18,Argenta,2,10,315903.93,295982.6,19921.33,88905,68983.67,19921.33,5976.44,4980.36,996.08
MAR,18,Arlington,1,4,179853.47,163399.93,16453.54,51561,35107.46,16453.54,4936.16,4113.47,822.69
MAR,18,Aroma Park,4,15,560509.15,509173.91,51335.24,196717,145381.57,51335.43,15400.75,12833.97,2566.78
MAR,18,Arthur,3,14,382677.16,350894.24,31782.92,124382,92599.03,31782.97,9534.99,7945.82,1589.17
MAR,18,Ashkum,2,6,253875.56,226385.5,27490.06,85329,57869.28,27459.72,8237.93,6864.94,1372.99
MAR,18,Ashland,2,9,274187.31,253060.01,21127.3,89807,68679.7,21127.3,6338.29,5281.92,1056.37
MAR,18,Ashley,3,15,693694.22,641626.06,52068.16,203524,151455.69,52068.31,15620.57,13017.14,2603.43
MAR,18,Ashmore,3,15,746963.56,688118.58,58844.98,198642,139796.92,58845.08,17653.7,14711.42,2942.28
MAR,18,Ashton,3,14,485552.07,446201.36,39350.71,144930,105579.29,39350.71,11805.28,9837.74,1967.54
MAR,18,Assumption,3,14,371852.99,338366.62,33486.37,119544,86057.64,33486.36,10046.04,8371.69,1674.35
MAR,18,Astoria,1,3,54680.9,49934.27,4746.63,16090,11343.28,4746.72,1424,1186.67,237.33
MAR,18,Athens,4,19,746463.22,686591.75,59871.47,229997,170126.22,59870.78,17961.47,14967.89,2993.58
MAR,18,Atlanta,4,16,434707.15,392586.72,42120.43,135650,93529.38,42120.62,12636.37,10530.32,2106.05
MAR,18,Atwood,2,10,334494.64,300809.11,33685.53,92657,58971.3,33685.7,10105.76,8421.48,1684.28
MAR,18,Auburn,8,31,1321274.24,1214488.98,106785.26,391549,284762.61,106786.39,32036.2,26696.82,5339.38
MAR,18,Augusta,3,10,244553.1,221735.67,22817.43,73171,50353.33,22817.67,6845.45,5704.55,1140.9
MAR,18,Aurora,31,142,9998806.08,9183392.98,815413.1,3038248,2222835.39,815412.61,244625.17,203854.37,40770.8
MAR,18,Ava,2,8,308154.14,291257.95,16896.19,71644,54747.92,16896.08,5068.84,4224.04,844.8
MAR,18,Aviston,3,9,222600.4,204432.25,18168.15,72865,54697.05,18167.95,5450.38,4541.99,908.39
MAR,18,Avon,1,4,243173,226569.07,16603.93,56675,40071.46,16603.54,4981.11,4150.93,830.18
MAR,18,Baldwin,2,5,68467.78,60866.58,7601.2,25680,18078.8,7601.2,2280.43,1900.37,380.06
MAR,18,Banner,2,8,268375.4,249428.18,18947.22,99888,80940.78,18947.22,5684.11,4736.75,947.36
MAR,18,Barry,5,22,789498.53,717748.05,71750.48,238396,166672,71724,21517.43,17931.21,3586.22
MAR,18,Bartelso,4,11,172965.87,157250.35,15715.52,62918,47202.53,15715.47,4714.72,3928.93,785.79
MAR,18,Bartlett,12,53,4690909.59,4315476.46,375433.13,1441761,1066327.68,375433.32,112630.6,93858.85,18771.75
MAR,18,Bartonville,16,78,3297350.89,3009973.88,287377.01,1034614,747080.95,287533.05,86260.88,71884.09,14376.79
MAR,18,Basco,1,3,96386.16,86658.09,9728.07,32719,22990.96,9728.04,2918.46,2432.06,486.4
MAR,18,Batavia,6,30,881059.54,803368.68,77690.86,283141,205410.25,77730.75,23319.47,19432.89,3886.58
MAR,18,Batchtown,1,5,140708.45,129726.22,10982.23,36640,25657.77,10982.23,3294.71,2745.6,549.11
MAR,18,Bath,1,3,65111.89,57914.38,7197.51,23268,16070.49,7197.51,2159.31,1799.43,359.88
MAR,18,Beach Park,5,23,1307347.28,1187674.32,119672.96,442716,323021.64,119694.36,35908.57,29923.8,5984.77
MAR,18,Beardstown,10,48,2515220.06,2308931.87,206288.19,729989,523691.57,206297.43,61889.75,51574.81,10314.94
MAR,18,Beaverville,2,5,0,0,0,0,0,0,0,0,0
MAR,18,Beckemeyer,2,10,699773.23,650462.45,49310.78,219249,169938.65,49310.35,14793.25,12327.71,2465.54
MAR,18,Bedford Park,5,23,3260323,2981819.22,278503.78,1055821,777394.28,278426.72,83528.27,69606.9,13921.37
MAR,18,Beecher,9,40,1472189.55,1341200.11,130989.44,485375,354384.82,130990.18,39297.5,32747.92,6549.58
MAR,18,Belgium,2,9,456229.24,422459.63,33769.61,127309,93538.4,33770.6,10131.28,8442.73,1688.55
MAR,18,Belleville,26,119,7042032.62,6492138.69,549893.93,2185820,1635917.29,549902.71,164972.06,137476.76,27495.3
MAR,18,Bellevue,3,15,663625.85,608193.68,55432.17,218181,162748.83,55432.17,16629.84,13858.19,2771.65
MAR,18,Bellwood,2,10,513291.19,469363.67,43927.52,174735,130807.38,43927.62,13178.36,10981.96,2196.4
MAR,18,Belvidere,21,101,7795210.46,7158241.05,636969.41,2457989.67,1820726.37,637263.29,191179.92,159316.64,31863.28
MAR,18,Bement,4,18,581746.21,533972.48,47773.73,183010,135236.09,47773.91,14332.42,11943.72,2388.7
MAR,18,Benld,4,19,471823.35,432608.74,39214.61,140877,101662.25,39214.75,11764.57,9803.81,1960.76
MAR,18,Bensenville,6,28,1895432.75,1729543.48,165889.27,616463,450573.09,165889.91,49767.42,41472.86,8294.56
MAR,18,Benson,1,4,153738.55,146875.1,6863.45,48109,41245.55,6863.45,2059.04,1715.86,343.18
MAR,18,Benton,12,56,2240818.86,2068985.91,171832.95,655923,484090.26,171832.74,51550.34,42958.62,8591.72
MAR,18,Berkeley,6,28,2502153.76,2285004.15,217149.61,801648,584498.49,217149.51,65145.19,54287.67,10857.52
MAR,18,Berwyn,52,248,15297583.12,14017936.74,1279646.38,5007533,3727848.77,1279684.23,383907.49,319923,63984.49
MAR,18,Bethalto,3,11,638609.74,582883.79,55725.95,177455,121729.05,55725.95,16717.96,13931.63,2786.33
MAR,18,Bethany,1,5,94258.24,86033.54,8224.7,36392,28167.37,8224.63,2467.48,2056.23,411.25
MAR,18,Big Rock,1,4,166102.13,149764.4,16337.73,58323,41985.07,16337.93,4901.42,4084.52,816.9
MAR,18,Blandinsville,3,9,232970.67,212914.61,20056.06,62111,42054.94,20056.06,6016.91,5014.1,1002.81
MAR,18,Bloomingdale,7,24,1431954.76,1311989.9,119964.86,450400,330434.87,119965.13,35989.7,29991.42,5998.28
MAR,18,Bloomington,55,251,18752185.79,17259321.84,1492863.95,5952284,4459232.6,1493051.4,447918.08,373265.11,74652.97
MAR,18,Blue Island,27,120,6862192.56,6311448.56,550744,2213286,1662664.76,550621.24,165187.75,137656.48,27531.27
MAR,18,Blue Mound,2,10,373194.17,340054.34,33139.83,127164,94024.27,33139.73,9942.04,8285.04,1657
MAR,18,Bluffs,1,5,285266.25,264978.48,20287.77,88179,67891.23,20287.77,6086.37,5071.97,1014.4
MAR,18,Bond County,2,8,69694.44,61588.78,8105.66,23240,15134.29,8105.71,2431.74,2026.45,405.29
MAR,18,Boone County,9,34,1229288.23,1123245.85,106042.38,392253.33,286176.61,106076.73,31823.31,26519.4,5303.91
MAR,18,Bourbonnais,4,18,1039566.9,944660.98,94905.92,394131,299225.33,94905.67,28471.97,23726.65,4745.32
MAR,18,Bowen,1,3,62532.14,58112.84,4419.3,20839,16419.81,4419.19,1325.8,1104.83,220.97
MAR,18,Braceville,1,5,121350.77,109546.71,11804.06,35267,23462.85,11804.15,3541.3,2951.08,590.22
MAR,18,Bradford,2,7,206120.88,194428.58,11692.3,60384,48691.7,11692.3,3507.74,2923.12,584.62
MAR,18,Bradley,22,98,5471960.38,4999154.39,472805.99,1819803,1346996.58,472806.42,141843.05,118202.59,23640.46
MAR,18,Braidwood,6,27,964598.83,891565.2,73033.63,288034,215000.81,73033.19,21910.35,18258.63,3651.72
MAR,18,Breese,9,37,1281143.19,1178621.92,102521.27,426071,323550.02,102520.98,30756.61,25630.51,5126.1
MAR,18,Bridgeport,6,22,553425.46,506780.25,46645.21,162965,116318.97,46646.03,13993.92,11661.6,2332.32
MAR,18,Bridgeview,26,126,8942892.29,8241817.93,701074.36,2814736,2112942.23,701793.77,210539.04,175449.22,35089.82
MAR,18,Brimfield,3,15,518462.24,476783.71,41678.53,184388,142709.5,41678.5,12503.79,10419.83,2083.96
MAR,18,Broadlands,1,5,154510.73,139520.86,14989.87,58220,43230.13,14989.87,4496.99,3747.49,749.5
MAR,18,Broadview,6,30,1795693.18,1637898.47,157794.71,587877,430082.29,157794.71,47338.54,39448.78,7889.76
MAR,18,Brocton,1,5,103520.46,92666.79,10853.67,32816,21962,10854,3256.25,2713.55,542.7
MAR,18,Brookfield,14,68,3757266.78,3437876.76,319390.02,1282032,962641.94,319390.06,95817.64,79848.04,15969.6
MAR,18,Brooklyn,1,4,277151.51,254452.29,22699.22,87137,64185.56,22951.44,6885.46,5737.89,1147.57
MAR,18,Brookport,1,3,36421.47,32365.15,4056.32,12422,8365.68,4056.32,1216.9,1014.08,202.82
MAR,18,Brown County,1,2,3233.93,3677.78,-443.85,1033,1476.85,-443.85,-133.18,-110.99,-22.19
MAR,18,Bryant,1,3,158764.21,148684.58,10079.63,52382,42302.37,10079.63,3023.91,2519.92,503.99
MAR,18,Buckley,2,10,571244.21,529612.49,41631.72,185269,143637.28,41631.72,12489.55,10407.96,2081.59
MAR,18,Buckner,1,5,372672.81,342574.47,30098.34,93987,63888.66,30098.34,9029.53,7524.61,1504.92
MAR,18,Buffalo,1,3,104317.8,97912.79,6405.01,32779,26373.99,6405.01,1921.53,1601.28,320.25
MAR,18,Buffalo Grove,8,36,1838655.4,1691554.74,147100.66,580434,433332.16,147101.84,44130.83,36775.68,7355.15
MAR,18,Bull Valley,1,4,4182.94,3114.79,1068.15,2189,1120.85,1068.15,320.49,267.08,53.41
MAR,18,Bulpitt,1,5,181238.21,164667.63,16570.58,54440,37869.42,16570.58,4971.24,4142.7,828.54
MAR,18,Buncombe,2,8,244511.85,225243.91,19267.94,73047,53778.92,19268.08,5780.51,4817.1,963.41
MAR,18,Bunker Hill,3,15,531879.86,498474.46,33405.4,174977,141571.55,33405.45,10021.68,8351.41,1670.27
MAR,18,Burbank,22,107,9891275.01,9168362.29,722912.72,3169173,2446176.36,722996.64,216899.95,180750,36149.95
MAR,18,Bureau,1,5,210761.05,198871.68,11889.37,56526,44636.61,11889.39,3566.92,2972.44,594.48
MAR,18,Burlington,1,5,182419.14,162050.61,20368.53,60977,40608.47,20368.53,6110.63,5092.2,1018.43
MAR,18,Burnham,3,15,1046232.28,967545.63,78686.65,347921,269234.35,78686.65,23606.2,19671.83,3934.37
MAR,18,Bushnell,5,18,433032.69,392452.59,40580.1,129794,89213.83,40580.17,12174.3,10145.26,2029.04
MAR,18,Byron,7,34,1566290.98,1434122.11,132168.87,540885,408716.46,132168.54,39650.77,33042.31,6608.46
MAR,18,Cabery,1,4,212268.12,192881.25,19386.87,69580,50193.52,19386.48,5815.98,4846.65,969.33
MAR,18,Cahokia,12,54,1906167.23,1754144.69,152022.54,599700,447676.93,152023.07,45607.27,38006.09,7601.18
MAR,18,Cairo,4,18,923744.79,840359.19,83385.6,337667,254281.47,83385.53,25015.86,20846.56,4169.3
MAR,18,Calhoun County,4,18,391149.07,359634.26,31514.81,108180,76665.17,31514.83,9454.6,7878.83,1575.77
MAR,18,Calumet City,18,84,6540899.04,6045577.61,495321.43,2203609,1708228.56,495380.44,148615.02,123845.91,24769.11
MAR,18,Calumet Park,10,45,4771665.76,4378209.13,393456.63,1682117,1288660.03,393456.97,118037.43,98364.56,19672.87
MAR,18,Cambridge,2,6,255561.68,232506.66,23055.02,56698,33642.71,23055.29,6916.7,5763.92,1152.78
MAR,18,Camp Point,2,5,77673.72,68607.18,9066.54,23802,14735.61,9066.39,2719.92,2266.6,453.32
MAR,18,Campbell Hill,2,8,364069.09,332994.32,31074.77,101112,70037.23,31074.77,9322.47,7768.73,1553.74
MAR,18,Campus,1,3,56632.2,51731.17,4901.03,21178,16276.97,4901.03,1470.38,1225.32,245.06
MAR,18,Canton,12,55,3276949.16,3023549.97,253399.19,982008,728608.42,253399.58,76020.54,63350.49,12670.05
MAR,18,Cantrall,1,3,104669.29,97676.32,6992.97,28907,21914.03,6992.97,2097.93,1748.28,349.65
MAR,18,Capron,2,10,292713.54,269482.1,23231.44,87382,64149.94,23232.06,6969.73,5808.11,1161.62
MAR,18,Carbon Cliff,2,10,219319.73,199556.06,19763.67,64430,44666.33,19763.67,5929.2,4941,988.2
MAR,18,Carbon Hill,2,7,260968.01,245106.47,15861.54,80239,64377.72,15861.28,4758.52,3965.43,793.09
MAR,18,Carbondale,22,105,5094496.9,4678624.76,415872.14,1643537,1227670.73,415866.27,124760.87,103967.44,20793.43
MAR,18,Carlinville,10,41,1922645.62,1760221.29,162424.33,577915,415490.63,162424.37,48727.65,40606.38,8121.27
MAR,18,Carlyle,7,29,1340022.7,1243135.92,96886.78,406407,309520.21,96886.79,29066.35,24221.94,4844.41
MAR,18,Carmi,10,42,2151203.64,2008956.46,142247.18,579875,437627.81,142247.19,42674.53,35562.13,7112.4
MAR,18,Carol Stream,14,70,5253989.89,4815290.22,438699.67,1651589,1212891.06,438697.94,131609.97,109675,21934.97
MAR,18,Carpentersville,19,89,6152091.7,5647596.51,504495.19,1993209,1488713.81,504495.19,151349.06,126124.23,25224.83
MAR,18,Carrier Mills,2,9,337206.84,313994.28,23212.56,87770,64557.57,23212.43,6963.76,5803.14,1160.62
MAR,18,Carroll County,2,7,298591.2,278305.52,20285.68,88462,68176.22,20285.78,6085.8,5071.5,1014.3
MAR,18,Carrollton,5,25,1040279.95,961884.04,78395.91,335248,256852.22,78395.78,23518.94,19599.14,3919.8
MAR,18,Carterville,1,5,394723.1,362008.6,32714.5,127792,95077.49,32714.51,9814.37,8178.65,1635.72
MAR,18,Carthage,2,8,237931.1,218285.65,19645.45,67276,47630.65,19645.35,5893.59,4911.34,982.25
MAR,18,Cary,9,43,2080548.78,1909824.49,170724.29,681055,510330.81,170724.19,51217.85,42681.56,8536.29
MAR,18,Casey,5,23,1043935.32,964877.53,79057.79,295766,216672.73,79093.27,23728.18,19773.5,3954.68
MAR,18,Caseyville,17,75,4370536.54,4013093.97,357442.57,1305271,947829.74,357441.26,107233.18,89361.02,17872.16
MAR,18,Cass County,1,5,95381.07,86892.14,8488.93,27026,18537.07,8488.93,2546.72,2122.27,424.45
MAR,18,Catlin,2,8,140425.74,128963.5,11462.24,44430,32967.56,11462.44,3438.79,2865.66,573.13
MAR,18,Cedar Point,1,5,155976.79,142020.16,13956.63,54906,40949.37,13956.63,4187.04,3489.2,697.84
MAR,18,Central City,4,20,1186584.27,1102511.85,84072.42,338910,254837.67,84072.33,25221.84,21018.22,4203.62
MAR,18,Centralia,19,92,6270694.86,5795577.92,475116.94,1704526,1229415.17,475110.83,142534.07,118778.44,23755.63
MAR,18,Centreville,2,9,785665.07,723303.57,62361.5,253699,191404.01,62294.99,18688.64,15573.87,3114.77
MAR,18,Cerro Gordo,1,4,100952.82,93480.93,7471.89,35944,28472.11,7471.89,2241.66,1868.05,373.61
MAR,18,Champaign,59,274,18936877.39,17452560.78,1484316.61,6523003,5039289.77,1483713.23,445116.13,370930.25,74185.88
MAR,18,Champaign County,6,26,1871444.03,1734754.39,136689.64,579250,442305.38,136944.62,41083.63,34236.38,6847.25
MAR,18,Chandlerville,2,7,162602.05,144447.38,18154.67,54817,36662.33,18154.67,5446.49,4538.74,907.75
MAR,18,Channahon,8,35,2055080.75,1889763.22,165317.53,626083,460716.35,165366.65,49610.3,41341.9,8268.4
MAR,18,Chapin,1,5,127911.1,121912.89,5998.21,36330,30331.82,5998.18,1799.53,1499.61,299.92
MAR,18,Charleston,16,67,3088297.63,2832170.19,256127.44,954527,698399.71,256127.29,76838.65,64032.2,12806.45
MAR,18,Chatham,11,48,2367753.69,2191918.04,175835.65,758414,582577.89,175836.11,52751.13,43959.27,8791.86
MAR,18,Chatsworth,2,8,144722.66,133311.51,11411.15,45565,34153.85,11411.15,3423.41,2852.84,570.57
MAR,18,Chebanse,4,15,328197.25,298421.25,29776,105856,76079.9,29776.1,8933,7444.17,1488.83
MAR,18,Chenoa,5,25,1170219.03,1075618.58,94600.45,338658,244243.83,94414.17,28324.52,23603.77,4720.75
MAR,18,Cherry,1,5,87870.15,83236.92,4633.23,23453,18819.77,4633.23,1390.03,1158.36,231.67
MAR,18,Cherry Valley,8,40,2798934.34,2585597.15,213337.19,851795,638457.81,213337.19,64001.53,53334.63,10666.9
MAR,18,Chester,9,42,2200200.9,2019433.56,180767.34,681606,500838.51,180767.49,54230.53,45192.12,9038.41
MAR,18,Chesterfield,1,3,126799.57,115658.83,11140.74,30852,19711.56,11140.44,3342.16,2785.13,557.03
MAR,18,Chicago Heights,15,72,5610447.85,5148614.42,461833.43,1911880,1449825.36,462054.64,138616.88,115514.09,23102.79
MAR,18,Chicago Ridge,20,99,6205791.85,5699966.06,505825.79,1950505,1444941.83,505563.17,151669.9,126391.59,25278.31
MAR,18,Chillicothe,14,67,2953188.74,2722154.1,231034.64,944786,714215.84,230570.16,69171.68,57643.08,11528.6
MAR,18,Christian County,4,18,764832.14,698828.28,66003.86,236868,170864.11,66003.89,19801.24,16501.04,3300.2
MAR,18,Christopher,8,33,1415570.86,1308479.47,107091.39,379188,272097.78,107090.22,32127.28,26772.76,5354.52
MAR,18,Cicero,35,162,15219313.35,13934279.61,1285033.74,5268011,3982960.91,1285050.09,385516.84,321264.09,64252.75
MAR,18,Cisne,1,5,245667.86,225665.54,20002.32,70899,50896.68,20002.32,6000.75,5000.63,1000.12
MAR,18,Cissna Park,1,3,79126.5,73233.78,5892.72,25141,19248.28,5892.72,1767.85,1473.21,294.64
MAR,18,Claremont,1,3,148607.55,138859.34,9748.21,56552,46803.79,9748.21,2924.48,2437.06,487.42
MAR,18,Clark County,2,7,196568.36,178067.27,18501.09,52065,33564.26,18500.74,5550.26,4625.21,925.05
MAR,18,Clay City,2,8,315439.23,292650.5,22788.73,95901,73112.2,22788.8,6836.74,5697.3,1139.44
MAR,18,Clay County,1,3,51509.55,46261.62,5247.93,18875,13627.03,5247.97,1574.42,1312.02,262.4
MAR,18,Clayton,1,3,42341.19,37397.24,4943.95,13832,8888.1,4943.9,1483.19,1235.99,247.2
MAR,18,Clifton,3,13,363642.43,325794.96,37847.47,119860,82012.26,37847.74,11354.53,9462.11,1892.42
MAR,18,Clinton,9,44,2991396.03,2764863.1,226532.93,939440,712906.73,226533.27,67960.35,56633.64,11326.71
