Mubicipality,Year,Month,Labor Force,Employed,Unemployed,Unemployment Rate
ILLINOIS,2018,1,"6,402,888","6,073,308","329,580",5.1
ILLINOIS,2018,2,"6,465,073","6,148,189","316,884",4.9
ILLINOIS,2018,3,"6,457,921","6,176,874","281,047",4.4
ILLINOIS,2018,4,"6,431,536","6,183,863","247,673",3.9
ILLINOIS,2018,5,"6,444,502","6,207,860","236,642",3.7
ILLINOIS,2018,6,"6,549,636","6,243,360","306,276",4.7
ILLINOIS,2018,7,"6,550,697","6,257,760","292,937",4.5
ILLINOIS,2018,8,"6,444,502","6,165,856","278,646",4.3
ILLINOIS,2018,9,"6,434,449","6,183,875","250,574",3.9
ILLINOIS,2018,10,"6,471,469","6,204,889","266,580",4.1
ILLINOIS,2018,11,"6,465,845","6,206,995","258,850",4
ILLINOIS,2018,12,"6,448,961","6,164,827","284,134",4.4
ILLINOIS,2018,13,"6,463,957","6,184,805","279,152",4.3
BLOOMINGTON MSA,2018,1,"95,221","90,880","4,341",4.6
BLOOMINGTON MSA,2018,2,"97,835","93,699","4,136",4.2
BLOOMINGTON MSA,2018,3,"97,797","93,738","4,059",4.2
BLOOMINGTON MSA,2018,4,"98,129","94,725","3,404",3.5
BLOOMINGTON MSA,2018,5,"97,120","93,717","3,403",3.5
BLOOMINGTON MSA,2018,6,"95,500","91,077","4,423",4.6
BLOOMINGTON MSA,2018,7,"95,664","91,356","4,308",4.5
BLOOMINGTON MSA,2018,8,"94,624","90,553","4,071",4.3
BLOOMINGTON MSA,2018,9,"96,670","92,926","3,744",3.9
BLOOMINGTON MSA,2018,10,"97,637","93,559","4,078",4.2
BLOOMINGTON MSA,2018,11,"97,848","94,043","3,805",3.9
BLOOMINGTON MSA,2018,12,"96,088","91,798","4,290",4.5
BLOOMINGTON MSA,2018,13,"96,678","92,673","4,005",4.1
CARBONDALE-MARION MSA,2018,1,"58,617","55,573","3,044",5.2
CARBONDALE-MARION MSA,2018,2,"60,350","57,389","2,961",4.9
CARBONDALE-MARION MSA,2018,3,"60,426","57,464","2,962",4.9
CARBONDALE-MARION MSA,2018,4,"60,797","58,283","2,514",4.1
CARBONDALE-MARION MSA,2018,5,"59,384","56,848","2,536",4.3
CARBONDALE-MARION MSA,2018,6,"58,349","55,276","3,073",5.3
CARBONDALE-MARION MSA,2018,7,"60,159","57,116","3,043",5.1
CARBONDALE-MARION MSA,2018,8,"59,146","56,196","2,950",5
CARBONDALE-MARION MSA,2018,9,"60,978","58,302","2,676",4.4
CARBONDALE-MARION MSA,2018,10,"61,641","58,831","2,810",4.6
CARBONDALE-MARION MSA,2018,11,"61,879","59,195","2,684",4.3
CARBONDALE-MARION MSA,2018,12,"61,107","58,113","2,994",4.9
CARBONDALE-MARION MSA,2018,13,"60,236","57,382","2,854",4.7
CHAMPAIGN-URBANA MSA,2018,1,"117,214","111,633","5,581",4.8
CHAMPAIGN-URBANA MSA,2018,2,"124,752","119,437","5,315",4.3
CHAMPAIGN-URBANA MSA,2018,3,"124,718","119,593","5,125",4.1
CHAMPAIGN-URBANA MSA,2018,4,"126,233","121,733","4,500",3.6
CHAMPAIGN-URBANA MSA,2018,5,"124,316","119,642","4,674",3.8
CHAMPAIGN-URBANA MSA,2018,6,"119,185","113,337","5,848",4.9
CHAMPAIGN-URBANA MSA,2018,7,"120,372","114,641","5,731",4.8
CHAMPAIGN-URBANA MSA,2018,8,"116,489","111,083","5,406",4.6
CHAMPAIGN-URBANA MSA,2018,9,"124,717","119,740","4,977",4
CHAMPAIGN-URBANA MSA,2018,10,"127,458","121,985","5,473",4.3
CHAMPAIGN-URBANA MSA,2018,11,"126,351","121,329","5,022",4
CHAMPAIGN-URBANA MSA,2018,12,"125,060","119,762","5,298",4.2
CHAMPAIGN-URBANA MSA,2018,13,"123,072","117,826","5,246",4.3
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,1,"3,707,462","3,524,056","183,406",4.9
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,2,"3,743,558","3,568,549","175,009",4.7
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,3,"3,725,612","3,581,002","144,610",3.9
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,4,"3,699,374","3,564,237","135,137",3.7
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,5,"3,703,136","3,576,701","126,435",3.4
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,6,"3,791,507","3,620,538","170,969",4.5
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,7,"3,787,338","3,627,458","159,880",4.2
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,8,"3,729,684","3,580,319","149,365",4
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,9,"3,700,091","3,568,001","132,090",3.6
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,10,"3,722,019","3,581,520","140,499",3.8
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,11,"3,721,402","3,592,168","129,234",3.5
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,12,"3,715,565","3,577,585","137,980",3.7
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,13,"3,728,896","3,580,178","148,718",4
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,1,"4,828,314","4,587,069","241,245",5
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,2,"4,874,279","4,640,501","233,778",4.8
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,3,"4,860,302","4,658,832","201,470",4.1
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,4,"4,830,358","4,649,598","180,760",3.7
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,5,"4,839,250","4,669,066","170,184",3.5
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,6,"4,946,105","4,721,918","224,187",4.5
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,7,"4,946,224","4,734,354","211,870",4.3
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,8,"4,868,735","4,668,811","199,924",4.1
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,9,"4,836,973","4,659,288","177,685",3.7
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,10,"4,865,563","4,676,901","188,662",3.9
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,11,"4,865,169","4,688,201","176,968",3.6
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,12,"4,859,838","4,663,822","196,016",4
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,13,"4,868,426","4,668,197","200,229",4.1
DANVILLE MSA,2018,1,"33,461","31,194","2,267",6.8
DANVILLE MSA,2018,2,"33,754","31,537","2,217",6.6
DANVILLE MSA,2018,3,"34,095","31,948","2,147",6.3
DANVILLE MSA,2018,4,"33,835","32,016","1,819",5.4
DANVILLE MSA,2018,5,"33,830","32,018","1,812",5.4
DANVILLE MSA,2018,6,"33,784","31,668","2,116",6.3
DANVILLE MSA,2018,7,"33,790","31,651","2,139",6.3
DANVILLE MSA,2018,8,"33,022","30,971","2,051",6.2
DANVILLE MSA,2018,9,"33,209","31,382","1,827",5.5
DANVILLE MSA,2018,10,"33,496","31,600","1,896",5.7
DANVILLE MSA,2018,11,"33,285","31,468","1,817",5.5
DANVILLE MSA,2018,12,"33,269","31,157","2,112",6.3
DANVILLE MSA,2018,13,"33,569","31,551","2,018",6
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,1,"189,754","180,144","9,610",5.1
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,2,"189,875","180,787","9,088",4.8
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,3,"191,459","182,922","8,537",4.5
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,4,"192,029","184,833","7,196",3.7
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,5,"192,450","185,627","6,823",3.5
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,6,"195,347","187,286","8,061",4.1
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,7,"196,005","188,410","7,595",3.9
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,8,"193,177","185,493","7,684",4
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,9,"193,083","185,589","7,494",3.9
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,10,"193,817","186,091","7,726",4
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,11,"192,714","185,612","7,102",3.7
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,12,"192,766","183,841","8,925",4.6
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,13,"192,707","184,720","7,987",4.1
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2018,1,"103,568","97,477","6,091",5.9
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2018,2,"103,780","97,778","6,002",5.8
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2018,3,"104,300","98,646","5,654",5.4
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2018,4,"104,415","99,776","4,639",4.4
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2018,5,"105,294","100,787","4,507",4.3
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2018,6,"106,412","101,196","5,216",4.9
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2018,7,"106,419","101,430","4,989",4.7
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2018,8,"104,378","99,309","5,069",4.9
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2018,9,"105,072","99,895","5,177",4.9
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2018,10,"105,367","99,880","5,487",5.2
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2018,11,"104,864","99,960","4,904",4.7
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2018,12,"104,889","98,778","6,111",5.8
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2018,13,"104,897","99,576","5,321",5.1
DECATUR MSA,2018,1,"49,374","46,488","2,886",5.8
DECATUR MSA,2018,2,"49,750","46,945","2,805",5.6
DECATUR MSA,2018,3,"49,819","47,043","2,776",5.6
DECATUR MSA,2018,4,"49,867","47,474","2,393",4.8
DECATUR MSA,2018,5,"50,268","47,934","2,334",4.6
DECATUR MSA,2018,6,"50,845","47,857","2,988",5.9
DECATUR MSA,2018,7,"50,817","47,852","2,965",5.8
DECATUR MSA,2018,8,"49,795","46,985","2,810",5.6
DECATUR MSA,2018,9,"49,883","47,386","2,497",5
DECATUR MSA,2018,10,"50,003","47,311","2,692",5.4
DECATUR MSA,2018,11,"49,649","47,013","2,636",5.3
DECATUR MSA,2018,12,"49,378","46,383","2,995",6.1
DECATUR MSA,2018,13,"49,954","47,223","2,731",5.5
ELGIN METROPOLITAN DIVISION,2018,1,"325,095","307,471","17,624",5.4
ELGIN METROPOLITAN DIVISION,2018,2,"327,896","310,508","17,388",5.3
ELGIN METROPOLITAN DIVISION,2018,3,"329,406","312,393","17,013",5.2
ELGIN METROPOLITAN DIVISION,2018,4,"325,947","312,465","13,482",4.1
ELGIN METROPOLITAN DIVISION,2018,5,"328,477","315,565","12,912",3.9
ELGIN METROPOLITAN DIVISION,2018,6,"331,942","316,060","15,882",4.8
ELGIN METROPOLITAN DIVISION,2018,7,"333,736","318,063","15,673",4.7
ELGIN METROPOLITAN DIVISION,2018,8,"327,534","312,473","15,061",4.6
ELGIN METROPOLITAN DIVISION,2018,9,"328,538","314,714","13,824",4.2
ELGIN METROPOLITAN DIVISION,2018,10,"331,022","316,219","14,803",4.5
ELGIN METROPOLITAN DIVISION,2018,11,"332,103","317,160","14,943",4.5
ELGIN METROPOLITAN DIVISION,2018,12,"331,893","313,373","18,520",5.6
ELGIN METROPOLITAN DIVISION,2018,13,"329,466","313,872","15,594",4.7
KANKAKEE MSA,2018,1,"54,748","51,310","3,438",6.3
KANKAKEE MSA,2018,2,"54,912","51,502","3,410",6.2
KANKAKEE MSA,2018,3,"55,189","51,924","3,265",5.9
KANKAKEE MSA,2018,4,"55,260","52,567","2,693",4.9
KANKAKEE MSA,2018,5,"55,374","52,794","2,580",4.7
KANKAKEE MSA,2018,6,"56,116","53,112","3,004",5.4
KANKAKEE MSA,2018,7,"56,272","53,317","2,955",5.3
KANKAKEE MSA,2018,8,"55,507","52,616","2,891",5.2
KANKAKEE MSA,2018,9,"55,626","52,971","2,655",4.8
KANKAKEE MSA,2018,10,"55,971","53,124","2,847",5.1
KANKAKEE MSA,2018,11,"55,906","53,087","2,819",5
KANKAKEE MSA,2018,12,"55,903","52,452","3,451",6.2
KANKAKEE MSA,2018,13,"55,566","52,565","3,001",5.4
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2018,1,"459,561","436,755","22,806",5
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2018,2,"463,320","440,257","23,063",5
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2018,3,"464,080","441,601","22,479",4.8
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2018,4,"462,529","444,800","17,729",3.8
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2018,5,"465,175","448,515","16,660",3.6
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2018,6,"474,212","453,731","20,481",4.3
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2018,7,"477,305","457,383","19,922",4.2
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2018,8,"468,600","449,001","19,599",4.2
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2018,9,"466,419","448,994","17,425",3.7
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2018,10,"468,043","449,734","18,309",3.9
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2018,11,"468,952","450,909","18,043",3.8
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2018,12,"469,410","446,617","22,793",4.9
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2018,13,"467,300","447,358","19,942",4.3
PEORIA MSA,2018,1,"176,556","166,180","10,376",5.9
PEORIA MSA,2018,2,"177,200","167,083","10,117",5.7
PEORIA MSA,2018,3,"178,627","168,961","9,666",5.4
PEORIA MSA,2018,4,"177,706","169,623","8,083",4.5
PEORIA MSA,2018,5,"178,819","170,989","7,830",4.4
PEORIA MSA,2018,6,"180,671","171,331","9,340",5.2
PEORIA MSA,2018,7,"181,894","172,669","9,225",5.1
PEORIA MSA,2018,8,"179,134","170,171","8,963",5
PEORIA MSA,2018,9,"178,588","170,405","8,183",4.6
PEORIA MSA,2018,10,"179,147","170,463","8,684",4.8
PEORIA MSA,2018,11,"178,013","169,716","8,297",4.7
PEORIA MSA,2018,12,"177,109","167,247","9,862",5.6
PEORIA MSA,2018,13,"178,622","169,570","9,052",5.1
ROCKFORD MSA,2018,1,"166,218","156,620","9,598",5.8
ROCKFORD MSA,2018,2,"166,970","157,576","9,394",5.6
ROCKFORD MSA,2018,3,"167,209","158,104","9,105",5.4
ROCKFORD MSA,2018,4,"166,512","158,856","7,656",4.6
ROCKFORD MSA,2018,5,"167,758","160,253","7,505",4.5
ROCKFORD MSA,2018,6,"170,058","161,001","9,057",5.3
ROCKFORD MSA,2018,7,"170,172","161,246","8,926",5.2
ROCKFORD MSA,2018,8,"167,410","158,394","9,016",5.4
ROCKFORD MSA,2018,9,"167,248","159,175","8,073",4.8
ROCKFORD MSA,2018,10,"167,896","159,067","8,829",5.3
ROCKFORD MSA,2018,11,"171,237","155,888","15,349",9
ROCKFORD MSA,2018,12,"168,459","158,171","10,288",6.1
ROCKFORD MSA,2018,13,"168,096","158,696","9,400",5.6
SPRINGFIELD MSA,2018,1,"108,029","102,799","5,230",4.8
SPRINGFIELD MSA,2018,2,"108,810","103,793","5,017",4.6
SPRINGFIELD MSA,2018,3,"109,478","104,683","4,795",4.4
SPRINGFIELD MSA,2018,4,"109,195","105,231","3,964",3.6
SPRINGFIELD MSA,2018,5,"109,309","105,467","3,842",3.5
SPRINGFIELD MSA,2018,6,"110,195","105,292","4,903",4.4
SPRINGFIELD MSA,2018,7,"110,270","105,518","4,752",4.3
SPRINGFIELD MSA,2018,8,"110,579","105,723","4,856",4.4
SPRINGFIELD MSA,2018,9,"109,170","104,804","4,366",4
SPRINGFIELD MSA,2018,10,"109,109","104,480","4,629",4.2
SPRINGFIELD MSA,2018,11,"108,057","103,587","4,470",4.1
SPRINGFIELD MSA,2018,12,"107,834","102,505","5,329",4.9
SPRINGFIELD MSA,2018,13,"109,169","104,490","4,679",4.3
"ST. LOUIS, MO-IL MSA, IL PART",2018,1,"342,072","324,906","17,166",5
"ST. LOUIS, MO-IL MSA, IL PART",2018,2,"344,125","327,819","16,306",4.7
"ST. LOUIS, MO-IL MSA, IL PART",2018,3,"344,158","328,594","15,564",4.5
"ST. LOUIS, MO-IL MSA, IL PART",2018,4,"343,882","330,566","13,316",3.9
"ST. LOUIS, MO-IL MSA, IL PART",2018,5,"345,268","331,519","13,749",4
"ST. LOUIS, MO-IL MSA, IL PART",2018,6,"348,699","331,521","17,178",4.9
"ST. LOUIS, MO-IL MSA, IL PART",2018,7,"347,750","330,833","16,917",4.9
"ST. LOUIS, MO-IL MSA, IL PART",2018,8,"342,477","326,388","16,089",4.7
"ST. LOUIS, MO-IL MSA, IL PART",2018,9,"343,833","329,159","14,674",4.3
"ST. LOUIS, MO-IL MSA, IL PART",2018,10,"346,452","330,921","15,531",4.5
"ST. LOUIS, MO-IL MSA, IL PART",2018,11,"345,617","330,582","15,035",4.4
"ST. LOUIS, MO-IL MSA, IL PART",2018,12,"344,753","327,971","16,782",4.9
"ST. LOUIS, MO-IL MSA, IL PART",2018,13,"344,924","329,232","15,692",4.5
,,,,,,
MICROPOLITAN AREAS,,,,,,
,,,,,,
CANTON MICROPOLITAN STATISTICAL AREA,2018,1,"15,071","13,970","1,101",7.3
CANTON MICROPOLITAN STATISTICAL AREA,2018,2,"15,246","14,174","1,072",7
CANTON MICROPOLITAN STATISTICAL AREA,2018,3,"15,323","14,316","1,007",6.6
CANTON MICROPOLITAN STATISTICAL AREA,2018,4,"15,311","14,490",821,5.4
CANTON MICROPOLITAN STATISTICAL AREA,2018,5,"15,455","14,662",793,5.1
CANTON MICROPOLITAN STATISTICAL AREA,2018,6,"15,447","14,462",985,6.4
CANTON MICROPOLITAN STATISTICAL AREA,2018,7,"15,355","14,413",942,6.1
CANTON MICROPOLITAN STATISTICAL AREA,2018,8,"15,187","14,292",895,5.9
CANTON MICROPOLITAN STATISTICAL AREA,2018,9,"15,204","14,405",799,5.3
CANTON MICROPOLITAN STATISTICAL AREA,2018,10,"15,370","14,534",836,5.4
CANTON MICROPOLITAN STATISTICAL AREA,2018,11,"15,249","14,403",846,5.5
CANTON MICROPOLITAN STATISTICAL AREA,2018,12,"15,177","14,133","1,044",6.9
CANTON MICROPOLITAN STATISTICAL AREA,2018,13,"15,283","14,355",928,6.1
CENTRALIA MICROPOLITAN STATISTICAL AREA,2018,1,"17,576","16,592",984,5.6
CENTRALIA MICROPOLITAN STATISTICAL AREA,2018,2,"17,734","16,822",912,5.1
CENTRALIA MICROPOLITAN STATISTICAL AREA,2018,3,"17,889","17,008",881,4.9
CENTRALIA MICROPOLITAN STATISTICAL AREA,2018,4,"17,914","17,165",749,4.2
CENTRALIA MICROPOLITAN STATISTICAL AREA,2018,5,"17,945","17,217",728,4.1
CENTRALIA MICROPOLITAN STATISTICAL AREA,2018,6,"18,089","17,167",922,5.1
CENTRALIA MICROPOLITAN STATISTICAL AREA,2018,7,"17,981","17,051",930,5.2
CENTRALIA MICROPOLITAN STATISTICAL AREA,2018,8,"17,671","16,815",856,4.8
CENTRALIA MICROPOLITAN STATISTICAL AREA,2018,9,"17,853","17,048",805,4.5
CENTRALIA MICROPOLITAN STATISTICAL AREA,2018,10,"17,985","17,163",822,4.6
CENTRALIA MICROPOLITAN STATISTICAL AREA,2018,11,"17,902","17,100",802,4.5
CENTRALIA MICROPOLITAN STATISTICAL AREA,2018,12,"17,916","17,014",902,5
CENTRALIA MICROPOLITAN STATISTICAL AREA,2018,13,"17,872","17,014",858,4.8
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2018,1,"30,694","29,213","1,481",4.8
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2018,2,"31,061","29,619","1,442",4.6
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2018,3,"30,947","29,568","1,379",4.5
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2018,4,"30,856","29,718","1,138",3.7
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2018,5,"29,718","28,535","1,183",4
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2018,6,"29,497","27,994","1,503",5.1
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2018,7,"29,328","27,848","1,480",5
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2018,8,"29,229","27,842","1,387",4.7
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2018,9,"30,701","29,425","1,276",4.2
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2018,10,"30,922","29,584","1,338",4.3
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2018,11,"30,668","29,398","1,270",4.1
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2018,12,"30,374","28,937","1,437",4.7
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2018,13,"30,333","28,973","1,360",4.5
DIXON MICROPOLITAN STATISTICAL AREA,2018,1,"17,863","16,964",899,5
DIXON MICROPOLITAN STATISTICAL AREA,2018,2,"17,782","16,926",856,4.8
DIXON MICROPOLITAN STATISTICAL AREA,2018,3,"17,866","17,066",800,4.5
DIXON MICROPOLITAN STATISTICAL AREA,2018,4,"18,117","17,444",673,3.7
DIXON MICROPOLITAN STATISTICAL AREA,2018,5,"18,078","17,412",666,3.7
DIXON MICROPOLITAN STATISTICAL AREA,2018,6,"18,087","17,269",818,4.5
DIXON MICROPOLITAN STATISTICAL AREA,2018,7,"18,239","17,487",752,4.1
DIXON MICROPOLITAN STATISTICAL AREA,2018,8,"17,668","16,952",716,4.1
DIXON MICROPOLITAN STATISTICAL AREA,2018,9,"17,845","17,173",672,3.8
DIXON MICROPOLITAN STATISTICAL AREA,2018,10,"18,107","17,374",733,4
DIXON MICROPOLITAN STATISTICAL AREA,2018,11,"17,838","17,066",772,4.3
DIXON MICROPOLITAN STATISTICAL AREA,2018,12,"17,744","16,829",915,5.2
DIXON MICROPOLITAN STATISTICAL AREA,2018,13,"17,937","17,164",773,4.3
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2018,1,"19,099","18,227",872,4.6
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2018,2,"19,119","18,306",813,4.3
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2018,3,"19,238","18,497",741,3.9
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2018,4,"19,207","18,615",592,3.1
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2018,5,"19,346","18,782",564,2.9
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2018,6,"19,504","18,796",708,3.6
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2018,7,"19,467","18,762",705,3.6
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2018,8,"19,086","18,390",696,3.6
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2018,9,"18,985","18,343",642,3.4
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2018,10,"19,105","18,414",691,3.6
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2018,11,"19,121","18,470",651,3.4
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2018,12,"19,207","18,459",748,3.9
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2018,13,"19,207","18,505",702,3.7
FREEPORT MICROPOLITAN STATISTICAL AREA,2018,1,"21,648","20,557","1,091",5
FREEPORT MICROPOLITAN STATISTICAL AREA,2018,2,"21,668","20,601","1,067",4.9
FREEPORT MICROPOLITAN STATISTICAL AREA,2018,3,"22,004","20,980","1,024",4.7
FREEPORT MICROPOLITAN STATISTICAL AREA,2018,4,"22,189","21,312",877,4
FREEPORT MICROPOLITAN STATISTICAL AREA,2018,5,"22,464","21,596",868,3.9
FREEPORT MICROPOLITAN STATISTICAL AREA,2018,6,"22,660","21,611","1,049",4.6
FREEPORT MICROPOLITAN STATISTICAL AREA,2018,7,"22,761","21,713","1,048",4.6
FREEPORT MICROPOLITAN STATISTICAL AREA,2018,8,"22,420","21,354","1,066",4.8
FREEPORT MICROPOLITAN STATISTICAL AREA,2018,9,"22,308","21,349",959,4.3
FREEPORT MICROPOLITAN STATISTICAL AREA,2018,10,"22,299","21,307",992,4.4
FREEPORT MICROPOLITAN STATISTICAL AREA,2018,11,"22,017","20,939","1,078",4.9
FREEPORT MICROPOLITAN STATISTICAL AREA,2018,12,"21,866","20,755","1,111",5.1
FREEPORT MICROPOLITAN STATISTICAL AREA,2018,13,"22,192","21,173","1,019",4.6
GALESBURG MICROPOLITAN STATISTICAL AREA,2018,1,"21,965","20,676","1,289",5.9
GALESBURG MICROPOLITAN STATISTICAL AREA,2018,2,"22,117","20,828","1,289",5.8
GALESBURG MICROPOLITAN STATISTICAL AREA,2018,3,"22,305","21,077","1,228",5.5
GALESBURG MICROPOLITAN STATISTICAL AREA,2018,4,"22,434","21,440",994,4.4
GALESBURG MICROPOLITAN STATISTICAL AREA,2018,5,"22,510","21,551",959,4.3
GALESBURG MICROPOLITAN STATISTICAL AREA,2018,6,"22,628","21,455","1,173",5.2
GALESBURG MICROPOLITAN STATISTICAL AREA,2018,7,"22,452","21,356","1,096",4.9
GALESBURG MICROPOLITAN STATISTICAL AREA,2018,8,"22,186","21,058","1,128",5.1
GALESBURG MICROPOLITAN STATISTICAL AREA,2018,9,"22,259","21,174","1,085",4.9
GALESBURG MICROPOLITAN STATISTICAL AREA,2018,10,"22,061","20,900","1,161",5.3
GALESBURG MICROPOLITAN STATISTICAL AREA,2018,11,"21,761","20,667","1,094",5
GALESBURG MICROPOLITAN STATISTICAL AREA,2018,12,"21,493","20,167","1,326",6.2
GALESBURG MICROPOLITAN STATISTICAL AREA,2018,13,"22,181","21,029","1,152",5.2
