Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
AUG,20,Abingdon,4,17,566697.34,519570.48,47126.86,149913,102786.32,47126.68,16023.11,13666.78,2356.33
AUG,20,Adams County,14,60,2282300.55,2083349.01,198951.54,702051,502800.09,199250.91,67745.48,57782.93,9962.55
AUG,20,Addieville,1,5,69115.65,66575.8,2539.85,25595,23055.15,2539.85,863.59,736.59,127
AUG,20,Addison,23,123,8344763.62,7614461.56,730302.06,2653312,1923009.81,730302.19,248303.13,211787.99,36515.14
AUG,20,Albany,2,7,192033.76,176022.81,16010.95,67191,51180.06,16010.94,5443.73,4643.18,800.55
AUG,20,Albers,1,4,171455.33,166170.16,5285.17,56580,51294.82,5285.18,1796.93,1532.67,264.26
AUG,20,Albion,4,18,182089.71,169066.75,13022.96,42445,29423.01,13021.99,4427.53,3776.42,651.11
AUG,20,Aledo,6,26,693781.84,635939.59,57842.25,183306,125429.34,57876.66,19678.2,16784.34,2893.86
AUG,20,Alexander County,3,13,546258.61,501522.85,44735.76,155985,111249.33,44735.67,15210.14,12973.35,2236.79
AUG,20,Alexis,2,7,117045.83,106731.94,10313.89,37515,27201.11,10313.89,3506.77,2991.07,515.7
AUG,20,Algonquin,17,80,2349469.97,2134124.22,215345.75,777809,562495.28,215313.72,73206.73,62441.05,10765.68
AUG,20,Alhambra,2,7,114127,100585.28,13541.72,38243,24701.43,13541.57,4604.22,3927.12,677.1
AUG,20,Alorton,3,17,1484789.8,1364629.23,120160.57,553276,433719.93,119556.07,40648.99,34671.2,5977.79
AUG,20,Alpha,1,4,162901.36,145391.18,17510.18,40896,23385.88,17510.12,5953.43,5077.92,875.51
AUG,20,Alsey,1,5,313578.14,281375.25,32202.89,93324,61121.11,32202.89,10948.95,9338.81,1610.14
AUG,20,Alsip,16,93,8546077.06,7836241.79,709835.27,2847639,2138019.77,709619.23,241270.98,205789.96,35481.02
AUG,20,Altamont,7,33,1255155.57,1152138.65,103016.92,375929,272913.03,103015.97,35025.48,29874.68,5150.8
AUG,20,Alto Pass,1,4,26023.28,24764.92,1258.36,7266,6007.64,1258.36,427.85,364.93,62.92
AUG,20,Alton,34,162,8807991.58,8108998.1,698993.48,2655141,1955119.81,700021.19,238007.67,203006.54,35001.13
AUG,20,Amboy,6,33,1160963.89,1058843.1,102120.79,357063,254924.71,102138.29,34727.1,29620.18,5106.92
AUG,20,Andalusia,1,4,101773.81,93839.53,7934.28,25965,18031.02,7933.98,2697.58,2300.87,396.71
AUG,20,Andover,1,5,217189.57,207254.77,9934.8,64597,54662.2,9934.8,3377.82,2881.08,496.74
AUG,20,Anna,12,63,2654955.13,2444418.17,210536.96,751570,541005.83,210564.17,71591.92,61063.69,10528.23
AUG,20,Annawan,4,21,686891.72,633095.87,53795.85,234948,181212.09,53735.91,18270.17,15583.37,2686.8
AUG,20,Antioch,15,85,7002790.11,6437146.2,565643.91,2262754,1697111.33,565642.67,192318.64,164036.48,28282.16
