Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
MAR,20,Abingdon,4,17,313125.73,289392.45,23733.28,91330,67596.79,23733.21,7832.03,6645.37,1186.66
MAR,20,Adams County,13,53,1016870.39,932792.11,84078.28,312350,228272.74,84077.26,27745.45,23541.58,4203.87
MAR,20,Addieville,1,5,53315.13,49358.66,3956.47,18405,14448.53,3956.47,1305.63,1107.81,197.82
MAR,20,Addison,22,120,4413876.06,4027965.99,385910.07,1447875,1061965.08,385909.92,127350.15,108054.7,19295.45
MAR,20,Albany,2,7,129350.51,117821.24,11529.27,44020,32490.73,11529.27,3804.61,3228.16,576.45
MAR,20,Albers,1,4,83990.3,74980.4,9009.9,30461,21451.45,9009.55,2973.16,2522.68,450.48
MAR,20,Albion,4,18,123943.79,117275.73,6668.06,30295,23626.69,6668.31,2200.49,1867.08,333.41
MAR,20,Aledo,6,25,353619.14,322077.21,31541.93,109049,77507.4,31541.6,10408.74,8831.68,1577.06
MAR,20,Alexander County,3,13,296657.08,272404.21,24252.87,89155,64902.79,24252.21,8003.25,6790.63,1212.62
MAR,20,Alexis,2,7,64188.76,57944.46,6244.3,19536,13291.91,6244.09,2060.55,1748.34,312.21
MAR,20,Algonquin,16,76,1363777.49,1251405.21,112372.28,474035,361704,112331,37069.2,31452.65,5616.55
MAR,20,Alhambra,2,7,44375.31,37975.01,6400.3,17493,11092.7,6400.3,2112.12,1792.1,320.02
MAR,20,Alorton,3,17,974483.13,882094.7,92388.43,343229,251084.56,92144.44,30407.67,25800.44,4607.23
MAR,20,Alpha,1,4,63858.62,55446.76,8411.86,18069,9657.14,8411.86,2775.9,2355.31,420.59
MAR,20,Alsey,1,5,128328.67,120713.7,7614.97,38251,30636.03,7614.97,2512.9,2132.16,380.74
MAR,20,Alsip,14,80,3567639.64,3278760.33,288879.31,1167978,879233.76,288744.24,95285.75,80848.52,14437.23
MAR,20,Altamont,7,33,549502.87,508770.82,40732.05,153912,113180.82,40731.18,13441.3,11404.75,2036.55
MAR,20,Alto Pass,1,4,13766.85,12114.71,1652.14,3071,1418.86,1652.14,545.22,462.61,82.61
MAR,20,Alton,34,162,4970483.43,4564336.87,406146.56,1569464,1163319.01,406144.99,134027.59,113720.37,20307.22
MAR,20,Amboy,6,31,617258.52,562914.99,54343.53,191034,136678.82,54355.18,17937.27,15219.5,2717.77
MAR,20,Andalusia,1,4,56791.46,53278.09,3513.37,14289,10775.73,3513.27,1159.4,983.74,175.66
MAR,20,Andover,1,5,102166.72,93046.42,9120.3,30111,20990.7,9120.3,3009.71,2553.7,456.01
MAR,20,Anna,13,66,1254398.49,1145515.47,108883.02,372829,263946.67,108882.33,35931.21,30487.09,5444.12
MAR,20,Annawan,4,21,490159.34,464366.13,25793.21,165518,139724.82,25793.18,8511.72,7222.07,1289.65
MAR,20,Antioch,16,86,3391515.12,3107052.2,284462.92,1188137,903674.77,284462.23,93872.61,79649.46,14223.15
MAR,20,Arcola,3,14,438592.63,412779.17,25813.46,136660,110846.39,25813.61,8518.53,7227.85,1290.68
MAR,20,Arenzville,1,2,15845.83,15281.92,563.91,3918,3354.39,563.61,186,157.82,28.18
MAR,20,Argenta,1,6,130608.16,118301.77,12306.39,45928,33621.92,12306.08,4061.01,3445.71,615.3
MAR,20,Arlington,2,11,184528.28,163697.35,20830.93,65606,44775.32,20830.68,6874.1,5832.57,1041.53
MAR,20,Aroma Park,4,17,510491.17,463196.71,47294.46,168156,120861.54,47294.46,15607.11,13242.4,2364.71
MAR,20,Arthur,3,16,220701.85,207223.13,13478.72,79897,66418.36,13478.64,4447.98,3774.04,673.94
MAR,20,Ashkum,2,8,73614.47,67384.46,6230.01,32371,26141.59,6229.41,2055.68,1744.22,311.46
MAR,20,Ashland,2,9,154063.89,139369.12,14694.77,46923,32228.23,14694.77,4849.27,4114.53,734.74
MAR,20,Ashley,4,20,436750.59,397737.8,39012.79,132494,93480.92,39013.08,12874.34,10923.68,1950.66
MAR,20,Ashmore,3,15,325876.84,305904.07,19972.77,98952,78979.46,19972.54,6590.93,5592.3,998.63
MAR,20,Ashton,3,15,265895.49,244419.46,21476.03,73119,51643.05,21475.95,7087.03,6013.24,1073.79
MAR,20,Assumption,3,16,196420.54,177165.34,19255.2,63387,44132.1,19254.9,6354.1,5391.36,962.74
MAR,20,Astoria,1,3,27941.18,26703.86,1237.32,7982,6744.68,1237.32,408.33,346.47,61.86
MAR,20,Athens,4,22,381711.57,343883.87,37827.7,127860,90032.49,37827.51,12483.03,10591.67,1891.36
MAR,20,Atkinson,3,16,233970.1,214063.38,19906.72,67550,47643.68,19906.32,6569.06,5573.75,995.31
MAR,20,Atlanta,4,17,206302.84,190534.27,15768.57,65065,49296.68,15768.32,5203.61,4415.2,788.41
MAR,20,Atwood,2,10,214160.37,199082.1,15078.27,56637,41559.14,15077.86,4975.68,4221.79,753.89
MAR,20,Auburn,13,63,1205524.8,1120344.15,85180.65,389103,303922.72,85180.28,28109.48,23850.48,4259
MAR,20,Augusta,3,10,197942.42,182471.83,15470.59,54355,38884.58,15470.42,5105.26,4331.73,773.53
MAR,20,Aurora,32,152,5804370.47,5327261.66,477108.81,1889349,1412243.79,477105.21,157444.87,133589.63,23855.24
MAR,20,Ava,3,11,148583.14,133877.83,14705.31,48117,33411.69,14705.31,4852.83,4117.55,735.28
MAR,20,Aviston,4,15,174782.51,163859.73,10922.78,54715,43792.38,10922.62,3604.43,3058.3,546.13
MAR,20,Avon,2,9,167020.44,155178.3,11842.14,48295,36453.25,11841.75,3907.79,3315.69,592.1
MAR,20,Baldwin,1,3,20631.38,18020.67,2610.71,6655,4044.28,2610.72,861.51,730.98,130.53
MAR,20,Banner,2,8,154045.17,150257.48,3787.69,49820,46032.51,3787.49,1249.88,1060.5,189.38
MAR,20,Barry,3,13,426307.6,394527.22,31780.38,136715,104935.05,31779.95,10487.39,8898.39,1589
MAR,20,Bartelso,5,17,186267.02,174935.43,11331.59,63632,52300.59,11331.41,3739.35,3172.78,566.57
MAR,20,Bartlett,16,85,2867517.04,2605171.7,262345.34,943542,681076.82,262465.18,86613.57,73490.28,13123.29
MAR,20,Bartonville,15,76,1932452.9,1768251.18,164201.72,613347,449428.91,163918.09,54092.98,45897.06,8195.92
MAR,20,Basco,1,3,88436.78,83149.68,5287.1,27793,22506.1,5286.9,1744.69,1480.35,264.34
MAR,20,Batavia,6,30,901356.41,831438.58,69917.83,283391,213473.31,69917.69,23072.87,19576.98,3495.89
MAR,20,Batchtown,1,5,34852.25,32945.94,1906.31,8210,6303.69,1906.31,629.06,533.74,95.32
MAR,20,Bath,3,10,101610.94,98772.99,2837.95,33469,30631.41,2837.59,936.36,794.47,141.89
MAR,20,Bay View Gardens,1,5,103272.01,98435.88,4836.13,35483,30646.87,4836.13,1595.89,1354.08,241.81
MAR,20,Beach Park,4,20,1001480.5,919037.42,82443.08,353320,270877.42,82442.58,27206.08,23083.94,4122.14
