Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
JAN,20,Abingdon,4,17,508429.07,470059.81,38369.26,142421,104052.37,38368.63,12661.72,10743.28,1918.44
JAN,20,Adams County,12,46,1339678.67,1208779.95,130898.72,422230,291331.02,130898.98,43196.76,36651.78,6544.98
JAN,20,Addieville,1,5,101889.45,93698.95,8190.5,37769,29578.5,8190.5,2702.82,2293.3,409.52
JAN,20,Addison,22,113,7971640.02,7268741.97,702898.05,2550734,1847796.84,702937.16,231969.4,196822.54,35146.86
JAN,20,Albany,2,7,194690.25,173985.15,20705.1,64924,44218.79,20705.21,6832.71,5797.44,1035.27
JAN,20,Albers,1,4,168483.49,151241.71,17241.78,54539,37297.22,17241.78,5689.78,4827.69,862.09
JAN,20,Albion,4,17,234601.3,222096.7,12504.6,57489,44968.97,12520.03,4131.67,3505.66,626.01
JAN,20,Aledo,6,24,557813.44,507915.79,49897.65,168132,118234.56,49897.44,16466.25,13971.38,2494.87
JAN,20,Alexander County,3,13,475574.81,436620.84,38953.97,154148,115201.86,38946.14,12852.15,10904.85,1947.3
JAN,20,Alexis,2,7,108456.98,100638.39,7818.59,36612,28793.41,7818.59,2580.08,2189.16,390.92
JAN,20,Algonquin,16,74,2344202.66,2135421.3,208781.36,796943,588088.75,208854.25,68921.91,58479.2,10442.71
JAN,20,Alhambra,2,7,88992.93,79913.16,9079.77,33407,24327.58,9079.42,2996.11,2542.15,453.96
JAN,20,Alorton,3,17,1593959.46,1436869.79,157089.67,519889,362804.56,157084.44,51837.84,43983.63,7854.21
JAN,20,Alpha,1,4,91522.64,81489.83,10032.81,30932,20899.43,10032.57,3310.79,2809.16,501.63
JAN,20,Alsey,1,5,229979.3,205477.93,24501.37,71289,46800.43,24488.57,8081.21,6856.78,1224.43
JAN,20,Alsip,15,79,5897066.84,5408790.47,488276.37,1891782,1403465.88,488316.12,161144.46,136728.65,24415.81
JAN,20,Altamont,7,31,899931.06,842536.55,57394.51,231727,174331.28,57395.72,18940.59,16070.79,2869.8
JAN,20,Alto Pass,1,4,15206.05,13243.02,1963.03,5372,3408.97,1963.03,647.16,549.1,98.06
JAN,20,Alton,32,146,7395050.93,6787255.57,607795.36,2219679,1611833.45,607845.55,200588.87,170196.6,30392.27
JAN,20,Altona,1,5,156246.93,147079.05,9167.88,49096,39928.12,9167.88,3025.36,2566.97,458.39
JAN,20,Amboy,6,28,1057770.42,974770.76,82999.66,321033,238032.2,83000.8,27390.1,23240.08,4150.02
JAN,20,Andalusia,1,4,86823.04,77809.72,,25437,16423.68,9013.32,2974.42,2523.75,450.67
JAN,20,Andover,1,5,169302.81,151095.05,18207.76,53097,34888.99,18208.01,6008.62,5098.23,910.39
JAN,20,Anna,11,53,1992452.81,1826195.13,166257.68,570667,404352.89,166314.11,54883.84,46568.1,8315.74
JAN,20,Annawan,4,20,776883.08,721811.82,55071.26,254155,199256.74,54898.26,18116.4,15371.48,2744.92
JAN,20,Antioch,16,82,5774250.14,5284655.71,489594.43,1980144,1490544.28,489599.72,161567.77,137087.8,24479.97
JAN,20,Arcola,3,13,586815.9,542811.11,44004.79,201373,157368.41,44004.59,14521.5,12321.28,2200.22
JAN,20,Arenzville,1,2,26820.7,27389.55,-568.85,8259,8827.84,-568.84,-187.7,-159.26,-28.44
JAN,20,Argenta,1,5,296183.16,268323.27,27859.89,90209,62349.11,27859.89,9193.78,7800.78,1393
JAN,20,Arlington,2,10,330441.45,298380.58,32060.87,103666,71605.11,32060.89,10580.06,8977.02,1603.04
JAN,20,Aroma Park,4,16,717644.45,650810.92,66833.53,243889,177055.59,66833.41,22054.97,18713.32,3341.65
JAN,20,Arthur,3,15,376647.27,349614.14,27033.13,128995,101962.29,27032.71,8920.78,7569.14,1351.64
JAN,20,Ashkum,2,8,156909.76,139506.6,17403.16,51564,34160.84,17403.16,5743.08,4872.91,870.17
JAN,20,Ashland,2,9,233413.07,212896.26,20516.81,72825,52308.39,20516.61,6770.48,5744.65,1025.83
JAN,20,Ashley,4,20,635591.54,575341.28,60250.26,193977,133726.96,60250.04,19882.44,16869.95,3012.49
JAN,20,Ashmore,3,15,555323.87,515935.63,39388.24,162334,122941.62,39392.38,12999.48,11029.86,1969.62
JAN,20,Ashton,3,15,451592.58,413851.28,37741.3,135800,98058.7,37741.3,12454.58,10567.52,1887.06
JAN,20,Assumption,3,15,498800.56,456874.69,41925.87,140058,98133.91,41924.09,13834.97,11738.76,2096.21
JAN,20,Astoria,1,3,51880.71,48340.72,3539.99,13903,10363.01,3539.99,1168.2,991.2,177
JAN,20,Athens,4,20,652307.53,603774.53,48533,218434,169861.43,48572.57,16028.92,13600.32,2428.6
JAN,20,Atkinson,3,16,280608.43,256308.7,24299.73,92349,68049.17,24299.83,8018.94,6803.95,1214.99
JAN,20,Atlanta,4,16,350247.57,324971.73,25275.84,100354,75078.24,25275.76,8341.09,7077.29,1263.8
JAN,20,Atwood,2,10,331746.4,309981.17,21765.23,86392,64626.52,21765.48,7182.59,6094.33,1088.26
JAN,20,Auburn,12,58,1700164.29,1558797.33,141366.96,539966,398598.83,141367.17,46651.18,39582.82,7068.36
JAN,20,Augusta,3,10,256231.83,242925.61,13306.22,74656,61349.69,13306.31,4391.05,3725.75,665.3
JAN,20,Aurora,33,156,9840424.54,8994692.21,845732.33,3156271,2310466.64,845804.36,279115.64,236825.39,42290.25
JAN,20,Ava,2,7,196814.56,177205.81,19608.75,50191,30581.53,19609.47,6471.1,5490.64,980.46
JAN,20,Aviston,3,10,277212.99,256908.59,20304.4,82892,62587.46,20304.54,6700.41,5685.19,1015.22
