Municipality,Year,Month,Labor Force,Employed,Unemployed,Unemployment Rate
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2017,9,"3,762,720","3,583,700","179,020",4.8
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2017,10,"3,749,459","3,574,218","175,241",4.7
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2017,11,"3,751,064","3,583,587","167,477",4.5
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2017,12,"3,726,915","3,564,908","162,007",4.3
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2017,13,"3,763,864","3,579,541","184,323",4.9
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2017,1,"4,861,618","4,578,511","283,107",5.8
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2017,2,"4,871,887","4,608,688","263,199",5.4
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2017,3,"4,874,383","4,645,986","228,397",4.7
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2017,4,"4,855,628","4,639,186","216,442",4.5
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2017,5,"4,865,472","4,653,468","212,004",4.4
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2017,6,"4,963,193","4,711,614","251,579",5.1
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2017,7,"4,966,437","4,714,297","252,140",5.1
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2017,8,"4,921,676","4,660,495","261,181",5.3
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2017,9,"4,893,253","4,667,704","225,549",4.6
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2017,10,"4,876,276","4,655,017","221,259",4.5
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2017,11,"4,878,370","4,664,154","214,216",4.4
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2017,12,"4,851,265","4,638,897","212,368",4.4
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2017,13,"4,889,955","4,653,168","236,787",4.8
DANVILLE MSA,2017,1,"34,149","31,459","2,690",7.9
DANVILLE MSA,2017,2,"34,047","31,566","2,481",7.3
DANVILLE MSA,2017,3,"34,068","31,827","2,241",6.6
DANVILLE MSA,2017,4,"34,263","32,306","1,957",5.7
DANVILLE MSA,2017,5,"33,921","31,954","1,967",5.8
DANVILLE MSA,2017,6,"33,951","31,745","2,206",6.5
DANVILLE MSA,2017,7,"34,180","31,821","2,359",6.9
DANVILLE MSA,2017,8,"33,914","31,505","2,409",7.1
DANVILLE MSA,2017,9,"33,995","31,928","2,067",6.1
DANVILLE MSA,2017,10,"33,739","31,707","2,032",6
DANVILLE MSA,2017,11,"33,762","31,745","2,017",6
DANVILLE MSA,2017,12,"33,700","31,633","2,067",6.1
DANVILLE MSA,2017,13,"33,974","31,766","2,208",6.5
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2017,1,"190,046","178,473","11,573",6.1
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2017,2,"188,979","178,727","10,252",5.4
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2017,3,"189,597","180,373","9,224",4.9
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2017,4,"189,695","182,004","7,691",4.1
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2017,5,"189,954","182,351","7,603",4
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2017,6,"192,668","184,359","8,309",4.3
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2017,7,"193,754","185,547","8,207",4.2
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2017,8,"191,919","183,503","8,416",4.4
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2017,9,"190,835","182,861","7,974",4.2
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2017,10,"188,701","181,169","7,532",4
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2017,11,"188,743","181,521","7,222",3.8
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2017,12,"188,463","180,403","8,060",4.3
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2017,13,"190,279","181,774","8,505",4.5
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2017,1,"104,288","96,877","7,411",7.1
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2017,2,"103,742","97,161","6,581",6.3
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2017,3,"103,816","98,016","5,800",5.6
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2017,4,"104,067","99,441","4,626",4.4
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2017,5,"104,215","99,590","4,625",4.4
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2017,6,"105,354","100,360","4,994",4.7
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2017,7,"106,028","100,953","5,075",4.8
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2017,8,"104,981","99,719","5,262",5
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2017,9,"104,681","99,577","5,104",4.9
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2017,10,"103,697","98,681","5,016",4.8
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2017,11,"103,558","98,883","4,675",4.5
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2017,12,"103,372","98,260","5,112",4.9
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA, IL PART",2017,13,"104,317","98,960","5,357",5.1
DECATUR MSA,2017,1,"49,902","46,438","3,464",6.9
DECATUR MSA,2017,2,"49,647","46,523","3,124",6.3
DECATUR MSA,2017,3,"49,629","46,815","2,814",5.7
DECATUR MSA,2017,4,"49,513","47,121","2,392",4.8
DECATUR MSA,2017,5,"49,308","46,966","2,342",4.7
DECATUR MSA,2017,6,"49,698","46,926","2,772",5.6
DECATUR MSA,2017,7,"50,085","47,214","2,871",5.7
DECATUR MSA,2017,8,"49,863","46,849","3,014",6
DECATUR MSA,2017,9,"49,789","47,195","2,594",5.2
DECATUR MSA,2017,10,"49,560","47,049","2,511",5.1
DECATUR MSA,2017,11,"49,430","46,869","2,561",5.2
DECATUR MSA,2017,12,"48,918","46,245","2,673",5.5
DECATUR MSA,2017,13,"49,612","46,851","2,761",5.6
ELGIN METROPOLITAN DIVISION,2017,1,"323,094","301,955","21,139",6.5
ELGIN METROPOLITAN DIVISION,2017,2,"322,715","303,402","19,313",6
ELGIN METROPOLITAN DIVISION,2017,3,"323,666","305,950","17,716",5.5
ELGIN METROPOLITAN DIVISION,2017,4,"322,382","308,457","13,925",4.3
ELGIN METROPOLITAN DIVISION,2017,5,"322,537","309,228","13,309",4.1
ELGIN METROPOLITAN DIVISION,2017,6,"325,626","310,885","14,741",4.5
ELGIN METROPOLITAN DIVISION,2017,7,"327,513","312,432","15,081",4.6
ELGIN METROPOLITAN DIVISION,2017,8,"324,751","309,029","15,722",4.8
ELGIN METROPOLITAN DIVISION,2017,9,"324,983","311,321","13,662",4.2
ELGIN METROPOLITAN DIVISION,2017,10,"324,262","310,614","13,648",4.2
ELGIN METROPOLITAN DIVISION,2017,11,"325,605","311,524","14,081",4.3
ELGIN METROPOLITAN DIVISION,2017,12,"325,925","310,429","15,496",4.8
ELGIN METROPOLITAN DIVISION,2017,13,"324,422","308,769","15,653",4.8
KANKAKEE MSA,2017,1,"54,856","50,751","4,105",7.5
KANKAKEE MSA,2017,2,"54,487","50,830","3,657",6.7
KANKAKEE MSA,2017,3,"54,512","51,254","3,258",6
KANKAKEE MSA,2017,4,"54,618","51,955","2,663",4.9
KANKAKEE MSA,2017,5,"54,389","51,787","2,602",4.8
KANKAKEE MSA,2017,6,"54,978","52,129","2,849",5.2
KANKAKEE MSA,2017,7,"55,450","52,548","2,902",5.2
KANKAKEE MSA,2017,8,"55,247","52,254","2,993",5.4
KANKAKEE MSA,2017,9,"55,371","52,705","2,666",4.8
KANKAKEE MSA,2017,10,"54,714","52,072","2,642",4.8
KANKAKEE MSA,2017,11,"54,755","51,963","2,792",5.1
KANKAKEE MSA,2017,12,"54,535","51,468","3,067",5.6
KANKAKEE MSA,2017,13,"54,826","51,810","3,016",5.5
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2017,1,"456,701","429,723","26,978",5.9
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2017,2,"455,659","430,368","25,291",5.6
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2017,3,"455,440","432,053","23,387",5.1
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2017,4,"455,783","437,340","18,443",4
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2017,5,"455,995","438,591","17,404",3.8
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2017,6,"468,611","448,871","19,740",4.2
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2017,7,"473,362","453,330","20,032",4.2
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2017,8,"467,978","447,618","20,360",4.4
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2017,9,"465,391","447,780","17,611",3.8
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2017,10,"463,023","445,576","17,447",3.8
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2017,11,"463,887","445,986","17,901",3.9
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2017,12,"462,286","442,540","19,746",4.3
"LAKE COUNTY-KENOSHA COUNTY, IL-WI METROPOLITAN DIVISION",2017,13,"462,010","441,648","20,362",4.4
PEORIA MSA,2017,1,"177,234","163,690","13,544",7.6
PEORIA MSA,2017,2,"175,755","163,817","11,938",6.8
PEORIA MSA,2017,3,"176,576","165,718","10,858",6.1
PEORIA MSA,2017,4,"177,879","168,782","9,097",5.1
PEORIA MSA,2017,5,"177,294","168,601","8,693",4.9
PEORIA MSA,2017,6,"178,951","169,475","9,476",5.3
PEORIA MSA,2017,7,"180,167","170,353","9,814",5.4
PEORIA MSA,2017,8,"179,760","169,856","9,904",5.5
PEORIA MSA,2017,9,"178,428","169,716","8,712",4.9
PEORIA MSA,2017,10,"177,472","169,016","8,456",4.8
PEORIA MSA,2017,11,"177,383","168,864","8,519",4.8
PEORIA MSA,2017,12,"176,880","167,784","9,096",5.1
PEORIA MSA,2017,13,"177,815","167,973","9,842",5.5
ROCKFORD MSA,2017,1,"169,278","152,230","17,048",10.1
ROCKFORD MSA,2017,2,"164,960","149,843","15,117",9.2
ROCKFORD MSA,2017,3,"164,286","150,335","13,951",8.5
ROCKFORD MSA,2017,4,"163,420","152,327","11,093",6.8
ROCKFORD MSA,2017,5,"163,604","153,896","9,708",5.9
ROCKFORD MSA,2017,6,"165,750","156,509","9,241",5.6
ROCKFORD MSA,2017,7,"166,664","157,239","9,425",5.7
ROCKFORD MSA,2017,8,"164,912","155,278","9,634",5.8
ROCKFORD MSA,2017,9,"164,453","155,884","8,569",5.2
ROCKFORD MSA,2017,10,"164,580","156,344","8,236",5
ROCKFORD MSA,2017,11,"165,339","157,003","8,336",5
ROCKFORD MSA,2017,12,"165,734","157,034","8,700",5.2
ROCKFORD MSA,2017,13,"165,249","154,494","10,755",6.5
SPRINGFIELD MSA,2017,1,"108,753","102,556","6,197",5.7
SPRINGFIELD MSA,2017,2,"108,751","103,167","5,584",5.1
SPRINGFIELD MSA,2017,3,"109,399","104,337","5,062",4.6
SPRINGFIELD MSA,2017,4,"108,811","104,529","4,282",3.9
SPRINGFIELD MSA,2017,5,"107,989","103,931","4,058",3.8
SPRINGFIELD MSA,2017,6,"109,470","104,840","4,630",4.2
SPRINGFIELD MSA,2017,7,"109,315","104,488","4,827",4.4
SPRINGFIELD MSA,2017,8,"110,053","105,055","4,998",4.5
SPRINGFIELD MSA,2017,9,"108,361","103,875","4,486",4.1
SPRINGFIELD MSA,2017,10,"108,006","103,619","4,387",4.1
SPRINGFIELD MSA,2017,11,"108,525","104,114","4,411",4.1
SPRINGFIELD MSA,2017,12,"108,169","103,610","4,559",4.2
SPRINGFIELD MSA,2017,13,"108,800","104,010","4,790",4.4
"ST. LOUIS, MO-IL MSA, IL PART",2017,1,"342,605","322,193","20,412",6
"ST. LOUIS, MO-IL MSA, IL PART",2017,2,"343,053","325,086","17,967",5.2
"ST. LOUIS, MO-IL MSA, IL PART",2017,3,"342,078","325,808","16,270",4.8
"ST. LOUIS, MO-IL MSA, IL PART",2017,4,"343,644","329,381","14,263",4.2
"ST. LOUIS, MO-IL MSA, IL PART",2017,5,"341,696","327,420","14,276",4.2
"ST. LOUIS, MO-IL MSA, IL PART",2017,6,"345,231","328,851","16,380",4.7
"ST. LOUIS, MO-IL MSA, IL PART",2017,7,"346,520","329,492","17,028",4.9
"ST. LOUIS, MO-IL MSA, IL PART",2017,8,"344,082","326,661","17,421",5.1
"ST. LOUIS, MO-IL MSA, IL PART",2017,9,"344,455","328,917","15,538",4.5
"ST. LOUIS, MO-IL MSA, IL PART",2017,10,"343,193","328,044","15,149",4.4
"ST. LOUIS, MO-IL MSA, IL PART",2017,11,"343,572","328,311","15,261",4.4
"ST. LOUIS, MO-IL MSA, IL PART",2017,12,"341,885","326,661","15,224",4.5
"ST. LOUIS, MO-IL MSA, IL PART",2017,13,"343,501","327,235","16,266",4.7
,,,,,,
MICROPOLITAN AREAS,,,,,,
,,,,,,
CANTON MICROPOLITAN STATISTICAL AREA,2017,1,"15,597","14,252","1,345",8.6
CANTON MICROPOLITAN STATISTICAL AREA,2017,2,"15,525","14,304","1,221",7.9
CANTON MICROPOLITAN STATISTICAL AREA,2017,3,"15,619","14,534","1,085",6.9
CANTON MICROPOLITAN STATISTICAL AREA,2017,4,"15,685","14,766",919,5.9
CANTON MICROPOLITAN STATISTICAL AREA,2017,5,"15,595","14,762",833,5.3
CANTON MICROPOLITAN STATISTICAL AREA,2017,6,"15,524","14,562",962,6.2
CANTON MICROPOLITAN STATISTICAL AREA,2017,7,"15,568","14,571",997,6.4
CANTON MICROPOLITAN STATISTICAL AREA,2017,8,"15,532","14,523","1,009",6.5
CANTON MICROPOLITAN STATISTICAL AREA,2017,9,"15,500","14,619",881,5.7
CANTON MICROPOLITAN STATISTICAL AREA,2017,10,"15,307","14,464",843,5.5
CANTON MICROPOLITAN STATISTICAL AREA,2017,11,"15,198","14,345",853,5.6
CANTON MICROPOLITAN STATISTICAL AREA,2017,12,"15,169","14,206",963,6.3
CANTON MICROPOLITAN STATISTICAL AREA,2017,13,"15,485","14,492",993,6.4
CENTRALIA MICROPOLITAN STATISTICAL AREA,2017,1,"17,689","16,469","1,220",6.9
CENTRALIA MICROPOLITAN STATISTICAL AREA,2017,2,"17,613","16,535","1,078",6.1
CENTRALIA MICROPOLITAN STATISTICAL AREA,2017,3,"17,576","16,595",981,5.6
CENTRALIA MICROPOLITAN STATISTICAL AREA,2017,4,"17,775","16,929",846,4.8
CENTRALIA MICROPOLITAN STATISTICAL AREA,2017,5,"17,637","16,804",833,4.7
CENTRALIA MICROPOLITAN STATISTICAL AREA,2017,6,"17,828","16,908",920,5.2
CENTRALIA MICROPOLITAN STATISTICAL AREA,2017,7,"17,848","16,888",960,5.4
CENTRALIA MICROPOLITAN STATISTICAL AREA,2017,8,"17,677","16,715",962,5.4
CENTRALIA MICROPOLITAN STATISTICAL AREA,2017,9,"17,729","16,878",851,4.8
CENTRALIA MICROPOLITAN STATISTICAL AREA,2017,10,"17,633","16,816",817,4.6
CENTRALIA MICROPOLITAN STATISTICAL AREA,2017,11,"17,642","16,807",835,4.7
CENTRALIA MICROPOLITAN STATISTICAL AREA,2017,12,"17,590","16,721",869,4.9
CENTRALIA MICROPOLITAN STATISTICAL AREA,2017,13,"17,686","16,755",931,5.3
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2017,1,"31,262","29,426","1,836",5.9
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2017,2,"31,269","29,632","1,637",5.2
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2017,3,"31,235","29,761","1,474",4.7
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2017,4,"30,923","29,750","1,173",3.8
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2017,5,"29,709","28,520","1,189",4
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2017,6,"29,671","28,269","1,402",4.7
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2017,7,"29,622","28,166","1,456",4.9
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2017,8,"29,905","28,476","1,429",4.8
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2017,9,"31,261","29,977","1,284",4.1
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2017,10,"31,143","29,844","1,299",4.2
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2017,11,"31,277","29,986","1,291",4.1
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2017,12,"30,910","29,626","1,284",4.2
CHARLESTON-MATTOON MICROPOLITAN STATISTICAL AREA,2017,13,"30,682","29,286","1,396",4.5
DIXON MICROPOLITAN STATISTICAL AREA,2017,1,"17,806","16,758","1,048",5.9
DIXON MICROPOLITAN STATISTICAL AREA,2017,2,"17,644","16,716",928,5.3
DIXON MICROPOLITAN STATISTICAL AREA,2017,3,"17,588","16,769",819,4.7
DIXON MICROPOLITAN STATISTICAL AREA,2017,4,"17,971","17,282",689,3.8
DIXON MICROPOLITAN STATISTICAL AREA,2017,5,"17,864","17,123",741,4.1
DIXON MICROPOLITAN STATISTICAL AREA,2017,6,"17,876","17,103",773,4.3
DIXON MICROPOLITAN STATISTICAL AREA,2017,7,"18,088","17,297",791,4.4
DIXON MICROPOLITAN STATISTICAL AREA,2017,8,"17,845","17,075",770,4.3
DIXON MICROPOLITAN STATISTICAL AREA,2017,9,"17,945","17,284",661,3.7
DIXON MICROPOLITAN STATISTICAL AREA,2017,10,"17,890","17,234",656,3.7
DIXON MICROPOLITAN STATISTICAL AREA,2017,11,"17,714","17,025",689,3.9
DIXON MICROPOLITAN STATISTICAL AREA,2017,12,"17,634","16,840",794,4.5
DIXON MICROPOLITAN STATISTICAL AREA,2017,13,"17,822","17,042",780,4.4
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2017,1,"18,707","17,662","1,045",5.6
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2017,2,"18,613","17,696",917,4.9
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2017,3,"18,718","17,947",771,4.1
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2017,4,"18,675","18,054",621,3.3
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2017,5,"18,929","18,317",612,3.2
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2017,6,"19,212","18,552",660,3.4
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2017,7,"19,290","18,613",677,3.5
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2017,8,"19,034","18,324",710,3.7
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2017,9,"18,926","18,272",654,3.5
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2017,10,"18,812","18,179",633,3.4
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2017,11,"18,832","18,192",640,3.4
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2017,12,"18,971","18,291",680,3.6
EFFINGHAM MICROPOLITAN STATISTICAL AREA,2017,13,"18,893","18,175",718,3.8
FREEPORT MICROPOLITAN STATISTICAL AREA,2017,1,"21,369","19,942","1,427",6.7
FREEPORT MICROPOLITAN STATISTICAL AREA,2017,2,"21,024","19,756","1,268",6
FREEPORT MICROPOLITAN STATISTICAL AREA,2017,3,"21,331","20,166","1,165",5.5
FREEPORT MICROPOLITAN STATISTICAL AREA,2017,4,"21,661","20,717",944,4.4
FREEPORT MICROPOLITAN STATISTICAL AREA,2017,5,"21,650","20,769",881,4.1
FREEPORT MICROPOLITAN STATISTICAL AREA,2017,6,"22,223","21,246",977,4.4
FREEPORT MICROPOLITAN STATISTICAL AREA,2017,7,"21,966","20,984",982,4.5
FREEPORT MICROPOLITAN STATISTICAL AREA,2017,8,"21,872","20,864","1,008",4.6
FREEPORT MICROPOLITAN STATISTICAL AREA,2017,9,"21,925","21,012",913,4.2
FREEPORT MICROPOLITAN STATISTICAL AREA,2017,10,"21,756","20,905",851,3.9
FREEPORT MICROPOLITAN STATISTICAL AREA,2017,11,"21,692","20,810",882,4.1
FREEPORT MICROPOLITAN STATISTICAL AREA,2017,12,"21,449","20,533",916,4.3
FREEPORT MICROPOLITAN STATISTICAL AREA,2017,13,"21,660","20,642","1,018",4.7
GALESBURG MICROPOLITAN STATISTICAL AREA,2017,1,"22,773","21,158","1,615",7.1
GALESBURG MICROPOLITAN STATISTICAL AREA,2017,2,"22,577","21,139","1,438",6.4
GALESBURG MICROPOLITAN STATISTICAL AREA,2017,3,"22,649","21,379","1,270",5.6
GALESBURG MICROPOLITAN STATISTICAL AREA,2017,4,"22,565","21,515","1,050",4.7
GALESBURG MICROPOLITAN STATISTICAL AREA,2017,5,"22,569","21,584",985,4.4
GALESBURG MICROPOLITAN STATISTICAL AREA,2017,6,"22,823","21,727","1,096",4.8
GALESBURG MICROPOLITAN STATISTICAL AREA,2017,7,"22,604","21,480","1,124",5
GALESBURG MICROPOLITAN STATISTICAL AREA,2017,8,"22,503","21,316","1,187",5.3
GALESBURG MICROPOLITAN STATISTICAL AREA,2017,9,"22,558","21,463","1,095",4.9
GALESBURG MICROPOLITAN STATISTICAL AREA,2017,10,"22,217","21,152","1,065",4.8
GALESBURG MICROPOLITAN STATISTICAL AREA,2017,11,"22,206","21,180","1,026",4.6
GALESBURG MICROPOLITAN STATISTICAL AREA,2017,12,"21,958","20,832","1,126",5.1
