Municipality,Year,Month,Labor Force,Employed,Unemployed,Unemployment Rate
ILLINOIS,2017,1,"6,448,267","6,051,587","396,680",6.2
ILLINOIS,2017,2,"6,458,023","6,096,591","361,432",5.6
ILLINOIS,2017,3,"6,464,910","6,146,844","318,066",4.9
ILLINOIS,2017,4,"6,453,187","6,162,440","290,747",4.5
ILLINOIS,2017,5,"6,450,313","6,166,390","283,923",4.4
ILLINOIS,2017,6,"6,549,950","6,219,038","330,912",5.1
ILLINOIS,2017,7,"6,558,003","6,224,408","333,595",5.1
ILLINOIS,2017,8,"6,504,552","6,160,599","343,953",5.3
ILLINOIS,2017,9,"6,487,328","6,187,474","299,854",4.6
ILLINOIS,2017,10,"6,465,567","6,171,418","294,149",4.5
ILLINOIS,2017,11,"6,468,382","6,180,230","288,152",4.5
ILLINOIS,2017,12,"6,431,206","6,141,340","289,866",4.5
ILLINOIS,2017,13,"6,478,307","6,159,030","319,277",4.9
BLOOMINGTON MSA,2017,1,"95,624","90,362","5,262",5.5
BLOOMINGTON MSA,2017,2,"97,659","92,936","4,723",4.8
BLOOMINGTON MSA,2017,3,"97,407","93,119","4,288",4.4
BLOOMINGTON MSA,2017,4,"98,745","95,181","3,564",3.6
BLOOMINGTON MSA,2017,5,"97,067","93,495","3,572",3.7
BLOOMINGTON MSA,2017,6,"95,496","91,401","4,095",4.3
BLOOMINGTON MSA,2017,7,"96,934","92,710","4,224",4.4
BLOOMINGTON MSA,2017,8,"96,408","92,216","4,192",4.3
BLOOMINGTON MSA,2017,9,"97,864","94,236","3,628",3.7
BLOOMINGTON MSA,2017,10,"97,503","93,785","3,718",3.8
BLOOMINGTON MSA,2017,11,"97,432","93,712","3,720",3.8
BLOOMINGTON MSA,2017,12,"96,207","92,435","3,772",3.9
BLOOMINGTON MSA,2017,13,"97,029","92,966","4,063",4.2
CARBONDALE-MARION MSA,2017,1,"59,450","55,720","3,730",6.3
CARBONDALE-MARION MSA,2017,2,"60,845","57,559","3,286",5.4
CARBONDALE-MARION MSA,2017,3,"60,826","57,817","3,009",4.9
CARBONDALE-MARION MSA,2017,4,"60,824","58,276","2,548",4.2
CARBONDALE-MARION MSA,2017,5,"58,920","56,366","2,554",4.3
CARBONDALE-MARION MSA,2017,6,"57,614","54,694","2,920",5.1
CARBONDALE-MARION MSA,2017,7,"59,733","56,720","3,013",5
CARBONDALE-MARION MSA,2017,8,"59,068","55,984","3,084",5.2
CARBONDALE-MARION MSA,2017,9,"60,181","57,460","2,721",4.5
CARBONDALE-MARION MSA,2017,10,"60,601","57,946","2,655",4.4
CARBONDALE-MARION MSA,2017,11,"60,971","58,267","2,704",4.4
CARBONDALE-MARION MSA,2017,12,"59,657","56,918","2,739",4.6
CARBONDALE-MARION MSA,2017,13,"59,891","56,977","2,914",4.9
CHAMPAIGN-URBANA MSA,2017,1,"117,543","110,935","6,608",5.6
CHAMPAIGN-URBANA MSA,2017,2,"123,768","117,778","5,990",4.8
CHAMPAIGN-URBANA MSA,2017,3,"123,518","117,984","5,534",4.5
CHAMPAIGN-URBANA MSA,2017,4,"124,993","120,455","4,538",3.6
CHAMPAIGN-URBANA MSA,2017,5,"122,528","117,916","4,612",3.8
CHAMPAIGN-URBANA MSA,2017,6,"117,372","112,043","5,329",4.5
CHAMPAIGN-URBANA MSA,2017,7,"118,554","113,083","5,471",4.6
CHAMPAIGN-URBANA MSA,2017,8,"115,889","110,496","5,393",4.7
CHAMPAIGN-URBANA MSA,2017,9,"124,350","119,669","4,681",3.8
CHAMPAIGN-URBANA MSA,2017,10,"125,097","120,139","4,958",4
CHAMPAIGN-URBANA MSA,2017,11,"124,851","119,842","5,009",4
CHAMPAIGN-URBANA MSA,2017,12,"123,510","118,689","4,821",3.9
CHAMPAIGN-URBANA MSA,2017,13,"121,831","116,586","5,245",4.3
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2017,1,"3,743,321","3,529,648","213,673",5.7
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2017,2,"3,754,656","3,556,474","198,182",5.3
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2017,3,"3,757,316","3,586,972","170,344",4.5
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2017,4,"3,738,029","3,568,193","169,836",4.5
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2017,5,"3,747,051","3,580,073","166,978",4.5
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2017,6,"3,826,306","3,624,867","201,439",5.3
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2017,7,"3,820,891","3,620,712","200,179",5.2
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2017,8,"3,788,636","3,581,139","207,497",5.5
