Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
SEP,20,Abingdon,4,17,629952.36,576745.19,53207.17,172164,118956.61,53207.39,18090.42,15430.06,2660.36
SEP,20,Adams County,14,61,2800931.04,2556685.61,244245.43,874021,629775.09,244245.91,83043.74,70831.43,12212.31
SEP,20,Addieville,1,5,65082.16,59930.29,5151.87,20503,15351.13,5151.87,1751.65,1494.06,257.59
SEP,20,Addison,23,123,8330125.78,7596662.67,733463.11,2657128,1923642.93,733485.07,249385.29,212710.97,36674.32
SEP,20,Albany,2,7,215469.06,201503.64,13965.42,82460,68474.89,13985.11,4754.89,4055.64,699.25
SEP,20,Albers,1,3,65922.64,59960.77,5961.87,22874,16911.98,5962.02,2027.11,1729.01,298.1
SEP,20,Albion,4,17,285289.43,268435.75,16853.68,50742,33888.33,16853.67,5730.29,4887.6,842.69
SEP,20,Aledo,6,26,643822.44,580017.24,63805.2,180699,116893.54,63805.46,21693.96,18503.68,3190.28
SEP,20,Alexander County,3,13,497287.51,455875.96,41411.55,160071,118659.68,41411.32,14079.86,12009.3,2070.56
SEP,20,Alexis,2,7,126061.86,114793.57,11268.29,41635,30366.71,11268.29,3831.22,3267.81,563.41
SEP,20,Algonquin,17,80,2304684.97,2103810.83,200874.14,763068,562194.27,200873.73,68297.28,58253.58,10043.7
SEP,20,Alhambra,2,7,111640.56,102321,9319.56,37573,28253.44,9319.56,3168.7,2702.71,465.99
SEP,20,Alorton,3,17,1392425.11,1259403.64,133021.47,469225,336197.7,133027.3,45229.16,38577.81,6651.35
SEP,20,Alpha,1,4,82720.73,71530.61,11190.12,23523,12332.88,11190.12,3804.67,3245.16,559.51
SEP,20,Alsey,1,5,253783.52,235067.82,18715.7,78481,59765.3,18715.7,6363.32,5427.54,935.78
SEP,20,Alsip,17,99,8388035.55,7717860.21,670175.34,2828128,2157951.1,670176.9,227860.23,194351.37,33508.86
SEP,20,Altamont,7,33,1443899.61,1356278.58,87621.03,410618,322996.09,87621.91,29791.61,25410.48,4381.13
SEP,20,Alto Pass,1,4,35968.04,31959.54,4008.5,9447,5438.25,4008.75,1362.99,1162.56,200.43
SEP,20,Alton,34,162,7734514.88,7088516.87,645998.01,2312246,1666106.19,646139.81,219688.01,187380.96,32307.05
SEP,20,Amboy,6,33,1257895.4,1140179.57,117715.83,390688,272931.68,117756.32,40037.29,34149.47,5887.82
SEP,20,Andalusia,1,4,81169.21,74128.1,7041.11,21648,14606.69,7041.31,2394.11,2042.03,352.08
SEP,20,Andover,1,6,196739.27,178822.22,17917.05,62303,44385.95,17917.05,6091.93,5196.06,895.87
SEP,20,Anna,12,64,2598709.27,2394399.17,204310.1,734765,530454.95,204310.05,69465.45,59249.95,10215.5
SEP,20,Annawan,3,16,781377.34,728794.36,52582.98,257173,204589.98,52583.02,17878.26,15249.11,2629.15
SEP,20,Antioch,15,86,7098371.96,6493887.4,604484.56,2394416,1789931.03,604484.97,205524.94,175300.73,30224.21
SEP,20,Arcola,1,6,572354.93,525230.83,47124.1,176819,129694.79,47124.21,16022.2,13665.99,2356.21
SEP,20,Arenzville,1,2,25536.61,24706.88,829.73,6393,5563.43,829.57,282.06,240.58,41.48
SEP,20,Argenta,1,6,330907.5,312149.08,18758.42,115027,96268.58,18758.42,6377.91,5439.98,937.93
SEP,20,Arlington,2,11,334939.21,312266.58,22672.63,110706,88033.22,22672.78,7708.72,6575.09,1133.63
SEP,20,Aroma Park,4,17,678620.11,619166.99,59453.12,233886,174432.9,59453.1,20214.1,17241.44,2972.66
SEP,20,Arthur,3,16,306394.67,275260.8,31133.87,106748,75614.37,31133.63,10585.5,9028.82,1556.68
SEP,20,Ashkum,2,8,126674.72,114740.67,11934.05,41839,29904.94,11934.06,4057.59,3460.89,596.7
SEP,20,Ashland,2,9,335819.94,305154.5,30665.44,105356,74690.36,30665.64,10426.27,8892.99,1533.28
SEP,20,Ashley,4,22,482072.02,441965.51,40106.51,164839,124731.83,40107.17,13636.46,11631.11,2005.35
SEP,20,Ashmore,3,17,793761.54,740935.65,52825.89,245028,192201.5,52826.5,17961.07,15319.74,2641.33
SEP,20,Ashton,3,16,444066.13,407981.42,36084.71,140354,104269.29,36084.71,12268.87,10464.63,1804.24
SEP,20,Assumption,3,16,683674.51,629636.56,54037.95,183894,129856.14,54037.86,18372.91,15671.01,2701.9
SEP,20,Athens,4,22,856989.81,788933.45,68056.36,268557,200501.22,68055.78,23139.12,19736.3,3402.82
SEP,20,Atkinson,2,11,463662.23,424986.56,38675.67,132783,94107.63,38675.37,13149.74,11215.96,1933.78
SEP,20,Atlanta,4,17,344559.13,315342.11,29217.02,115634,86417.36,29216.64,9933.67,8472.84,1460.83
SEP,20,Atwood,1,5,152737.62,141425.65,11311.97,35007,23695.03,11311.97,3846.07,3280.47,565.6
SEP,20,Auburn,12,59,2116838.33,1944182.23,172656.1,615405,442747.94,172657.06,58703.43,50070.58,8632.85
SEP,20,Augusta,3,10,298985.7,282217.84,16767.86,83170,66401.91,16768.09,5701.16,4862.75,838.41
SEP,20,Aurora,33,157,11374310.46,10507252.5,867057.96,3524514,2657472.32,867041.68,294794.27,251442.19,43352.08
SEP,20,Ava,3,11,186102.9,176433.25,9669.65,53497,43826.97,9670.03,3287.77,2804.28,483.49
SEP,20,Aviston,3,12,448688.88,426112.29,22576.59,137004,114427.55,22576.45,7675.99,6547.16,1128.83
SEP,20,Avon,2,9,432567.71,391890.45,40677.26,124997,84319.51,40677.49,13830.37,11796.49,2033.88
SEP,20,Baldwin,1,3,64580.25,59504.95,5075.3,20052,14976.7,5075.3,1725.64,1471.87,253.77
SEP,20,Banner,2,8,222977.85,206134.83,16843.02,67248,50405.12,16842.88,5726.72,4884.55,842.17
SEP,20,Barry,5,27,915904.16,829416.24,86487.92,276789,190199.94,86589.06,29440.4,25110.94,4329.46
SEP,20,Bartelso,5,17,244895.86,225248.78,19647.08,83887,64239.29,19647.71,6680.3,5697.9,982.4
SEP,20,Bartlett,17,91,5744368.25,5329193.35,415174.9,1774675,1359499.78,415175.22,141159.87,120401.07,20758.8
SEP,20,Bartonville,15,80,3641882.09,3312707.81,329174.28,1167254,838080.88,329173.12,111919.36,95460.68,16458.68
SEP,20,Basco,1,4,93399.57,85026.06,8373.51,30839,22465.49,8373.51,2847.03,2428.35,418.68
SEP,20,Batavia,8,40,1855835.44,1698164.55,157670.89,595372,437853.33,157518.67,53556.57,45680.59,7875.98
SEP,20,Batchtown,1,5,0,0,0,0,0.45,-0.45,-0.15,-0.13,-0.02
SEP,20,Bath,3,10,204557.3,185150.2,19407.1,67240,47692.24,19547.76,6646.25,5668.87,977.38
SEP,20,Bay View Gardens,1,5,186812.36,173179.25,13633.11,64893,51259.89,13633.11,4635.32,3953.65,681.67
SEP,20,Beach Park,4,20,1688406.72,1542999.78,145406.94,642169,496684.47,145484.53,49464.69,42190.47,7274.22
SEP,20,Beardstown,12,58,2648497.38,2410967.41,237529.97,750601,513070.46,237530.54,80760.45,68883.92,11876.53
SEP,20,Beaverville,1,5,179383.31,161895.13,17488.18,52041,34552.17,17488.83,5946.18,5071.74,874.44
SEP,20,Beckemeyer,2,11,627792.78,579351.96,48440.82,205175,156732.18,48442.82,16470.6,14048.45,2422.15
SEP,20,Bedford Park,7,36,4583330.11,4197773.86,385556.25,1423965,1038048.45,385916.55,131211.6,111915.8,19295.8
SEP,20,Beecher,9,42,1150805.56,1056200.39,94605.17,391102,296497.73,94604.27,32165.56,27435.33,4730.23
SEP,20,Belgium,2,10,619542.69,564277.73,55264.96,201848,146583.03,55264.97,18790.04,16026.8,2763.24
SEP,20,Belleville,35,181,5009851.96,4632538.57,377313.39,1652100,1274786.24,377313.76,128286.95,109421.19,18865.76
SEP,20,Bellevue,3,15,793821.7,732671.39,61150.31,252597,191446.57,61150.43,20791.22,17733.69,3057.53
SEP,20,Bellwood,3,17,451652.54,406325.42,45327.12,153663,108335.28,45327.72,15411.53,13145.14,2266.39
SEP,20,Belvidere,30,164,8721526.22,8000157.99,721368.23,2836615,2115278.2,721336.8,245254.92,209188.02,36066.9
SEP,20,Bement,3,15,597775.17,553438.11,44337.06,183468,139130.75,44337.25,15074.76,12857.88,2216.88
SEP,20,Benld,3,14,397938.89,364501,33437.89,129788,96318.32,33469.68,11379.74,9706.25,1673.49
SEP,20,Bensenville,9,48,3249812.99,2963794.89,286018.1,1042129,756090.83,286038.17,97253.15,82951.22,14301.93
SEP,20,Benson,1,4,211487.72,200629.99,10857.73,60463,49605.27,10857.73,3691.6,3148.72,542.88
SEP,20,Benton,16,79,2578745.67,2376180.58,202565.09,805254,602688.48,202565.52,68872.45,58744.14,10128.31
SEP,20,Berkeley,6,32,2285598.64,2099488.41,186110.23,767225,581114.33,186110.67,63277.67,53972.15,9305.52
SEP,20,Berwyn,57,284,14241969.22,12973805.17,1268164.05,4981626,3713467.5,1268158.5,431175.26,367767.12,63408.14
SEP,20,Bethalto,6,33,1408137.46,1303520.07,104617.39,449372,344717.27,104654.73,35582.72,30349.97,5232.75
SEP,20,Bethany,2,9,179543.8,166248.6,13295.2,52417,39121.77,13295.23,4520.35,3855.59,664.76
SEP,20,Big Rock,1,6,116391.9,105801.15,10590.75,34712,24121.25,10590.75,3600.87,3071.33,529.54
SEP,20,Bishop Hill,1,3,97641.12,86919.87,10721.25,29799,19077.75,10721.25,3645.21,3109.15,536.06
SEP,20,Blandinsville,3,9,236249.74,218246.51,18003.23,66286,48282.77,18003.23,6121.1,5220.94,900.16
SEP,20,Bloomingdale,8,34,1575941.47,1427108.73,148832.74,534504,385671.6,148832.4,50603.08,43161.45,7441.63
SEP,20,Bloomington,59,275,19025900.49,17490714.5,1535185.99,6189249,4654236.26,1535012.74,521904.72,445154.04,76750.68
SEP,20,Blue Island,29,154,8514663.06,7813818.8,700844.26,2948897,2248028.67,700868.33,238295.61,203252.12,35043.49
SEP,20,Blue Mound,1,6,206362.45,188485.89,17876.56,72398,54521.51,17876.49,6078.06,5184.23,893.83
SEP,20,Bluffs,1,5,256294.41,232603.1,23691.31,80135,56443.69,23691.31,8055.06,6870.5,1184.56
SEP,20,Bond County,3,13,147055.56,132522.12,14533.44,51311,36777.79,14533.21,4941.39,4214.7,726.69
SEP,20,Boone County,7,40,1517518.35,1376886.72,140631.63,480758,340126.91,140631.09,47814.93,40783.33,7031.6
SEP,20,Bourbonnais,5,27,888522.96,797653.26,90869.7,338366,247496.18,90869.82,30895.7,26352.22,4543.48
SEP,20,Bowen,2,6,98219.46,90486.9,7732.56,28642,20909.49,7732.51,2629.07,2242.44,386.63
SEP,20,Braceville,1,5,132522.73,117009.77,15512.96,40046,24533.01,15512.99,5274.37,4498.73,775.64
