Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
SEP,19,Bartonville,15,74,2925781.79,2663550.09,262231.7,952457,690225.49,262231.51,86536.32,73424.77,13111.55
SEP,19,Basco,1,5,106226.73,100208.75,6017.98,31858,25840.02,6017.98,1985.95,1685.05,300.9
SEP,19,Batavia,7,35,1802046.61,1668389.66,133656.95,561822,428164.94,133657.06,44106.65,37423.83,6682.82
SEP,19,Batchtown,1,5,102406.04,90823.39,11582.65,30250,18666.7,11583.3,3822.5,3243.34,579.16
SEP,19,Bath,3,12,153190.7,141138.55,12052.15,53183,41130.52,12052.48,3977.27,3374.65,602.62
SEP,19,Bay View Gardens,1,5,82189.92,71706.88,10483.04,31866,21382.96,10483.04,3459.42,2935.27,524.15
SEP,19,Beach Park,4,20,1583084.83,1441002.12,142082.71,570211,428097.84,142113.16,46897.64,39791.92,7105.72
SEP,19,Beardstown,12,57,2129093.82,1948224.28,180869.54,639212,458342.36,180869.64,59686.75,50643.31,9043.44
SEP,19,Beaverville,1,5,206100.47,188186.67,17913.8,59822,41908.08,17913.92,5911.54,5015.85,895.69
SEP,19,Beckemeyer,2,10,587201.75,547457.3,39744.45,201527,161785.95,39741.05,13114.56,11127.51,1987.05
SEP,19,Bedford Park,8,39,4109711.89,3785316.44,324395.45,1324947,1000675.71,324271.29,107009.57,90796,16213.57
SEP,19,Beecher,9,40,1398397.28,1290325.24,108072.04,448600,340528.71,108071.29,35663.54,30259.99,5403.55
SEP,19,Belgium,2,9,445827.79,413769.8,32057.99,150105,118047.01,32057.99,10579.18,8976.27,1602.91
SEP,19,Belleville,35,163,6245910.42,5747516,498394.42,2084328,1585968.06,498359.94,164458.71,139540.73,24917.98
SEP,19,Bellevue,4,20,768751.97,702035.79,66716.18,253918,187200.58,66717.42,22016.68,18680.81,3335.87
SEP,19,Bellwood,2,8,295349.47,268273.08,27076.39,98643,71566.61,27076.39,8935.17,7581.35,1353.82
SEP,19,Belvidere,29,142,7157898.6,6534807.73,623090.87,2343611,1720524.46,623086.54,205618.62,174464.29,31154.33
SEP,19,Bement,4,18,422943.34,393179.96,29763.38,150816,121053.02,29762.98,9821.75,8333.61,1488.14
SEP,19,Benld,4,20,363114.7,327407.41,35707.29,134294,98586.67,35707.33,11783.39,9998.03,1785.36
SEP,19,Bensenville,7,35,2232352.71,2031776.89,200575.82,751726,551149.02,200576.98,66190.34,56161.49,10028.85
SEP,19,Benson,1,5,121516.41,110907.25,10609.16,36981,26371.72,10609.28,3501.07,2970.61,530.46
SEP,19,Benton,13,61,1587905.01,1455379.38,132525.63,479295,346769.18,132525.82,43733.49,37107.22,6626.27
SEP,19,Berkeley,6,30,2050575.73,1879057.33,171518.4,634972,463452.64,171519.36,56601.4,48025.43,8575.97
SEP,19,Berwyn,57,266,13515850.04,12392939.95,1122910.09,4642814,3519871.16,1122942.84,370571.4,314424.25,56147.15
SEP,19,Bethalto,5,24,829577.69,761581.48,67996.21,264767,196771.59,67995.41,22438.54,19038.79,3399.75
SEP,19,Bethany,2,9,133636,123752.03,9883.97,48993,39109.07,9883.93,3261.64,2767.46,494.18
SEP,19,Big Rock,1,4,98618.4,88061.75,10556.65,33083,22521.21,10561.79,3485.38,2957.29,528.09
SEP,19,Bishop Hill,1,3,109343.55,101810.53,7533.02,21438,13904.83,7533.17,2485.96,2109.3,376.66
SEP,19,Blandinsville,3,11,148968.29,135419.91,13548.38,49100,35551.62,13548.38,4470.92,3793.5,677.42
SEP,19,Bloomingdale,6,26,1227850.57,1125393.9,102456.67,421698,319241.23,102456.77,33810.68,28687.84,5122.84
SEP,19,Bloomington,52,243,15807660.96,14510869.27,1296791.69,5128213,3831470.97,1296742.03,427924.49,363087.41,64837.08
SEP,19,Blue Island,29,139,6875152,6283233.19,591918.81,2366248,1774329.13,591918.87,195333,165737.08,29595.92
SEP,19,Blue Mound,2,10,281401.82,265633.98,15767.84,98442,82674.16,15767.84,5203.4,4415.01,788.39
SEP,19,Bluffs,1,5,259381.39,241073.02,18308.37,73906,55597.63,18308.37,6041.78,5126.36,915.42
SEP,19,Bond County,2,8,66707.46,60604.21,6103.25,24346,18242.76,6103.24,2014,1708.85,305.15
SEP,19,Boone County,7,31,1217057.71,1106678.39,110379.32,405418,295016.9,110401.1,36432.37,30912.31,5520.06
SEP,19,Bourbonnais,5,23,864771.05,784588.93,80182.12,341860,261677.59,80182.41,26460.24,22451.11,4009.13
SEP,19,Bowen,2,8,50920.1,45717.4,5202.7,17529,12326.25,5202.75,1716.92,1456.79,260.13
SEP,19,Braceville,1,5,141119.98,131040.47,10079.51,42254,32174.45,10079.55,3326.25,2822.27,503.98
SEP,19,Bradford,3,12,225201.93,209103.74,16098.19,77757,61658.77,16098.23,5312.43,4507.53,804.9
SEP,19,Bradley,20,93,5580161.7,5134989.78,445171.92,1825314,1380142.07,445171.93,146906.57,124648.02,22258.55
SEP,19,Braidwood,4,19,663931.7,602978.84,60952.86,226946,165993.32,60952.68,20114.39,17066.76,3047.63
SEP,19,Breese,10,46,1200309.13,1120152.72,80156.41,398010,317854.24,80155.76,26451.48,22443.69,4007.79
SEP,19,Bridgeport,6,27,443962.73,407282.15,36680.58,134096,97415.18,36680.82,12104.6,10270.57,1834.03
