Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
AUG,18,Abingdon,3,13,603905.57,554310.94,49594.63,145417,95822.38,49594.62,14878.63,12398.86,2479.77
AUG,18,Adams County,11,37,1317171.81,1205819.69,111352.12,407011,295998.51,111012.49,33304.02,27753.35,5550.67
AUG,18,Addieville,1,4,79409.69,73223.57,6186.12,30433,24246.68,6186.32,1855.95,1546.63,309.32
AUG,18,Addison,19,94,6742685.61,6121497.91,621187.7,2224629,1603425.25,621203.75,186362.26,155301.93,31060.33
AUG,18,Albany,2,8,193246.3,178851.66,14394.64,64951,50556.55,14394.45,4318.36,3598.64,719.72
AUG,18,Albers,1,3,140701.65,134627.87,6073.78,45166,39092.22,6073.78,1822.14,1518.45,303.69
AUG,18,Albion,3,11,128309.26,119131.65,9177.61,26104,16926.73,9177.27,2753.26,2294.39,458.87
AUG,18,Aledo,6,23,575378.43,525615.62,49762.81,177094,127331.32,49762.68,14929.11,12440.93,2488.18
AUG,18,Alexander County,2,7,183383.39,167688.62,15694.77,56468,40773.17,15694.83,4708.56,3923.8,784.76
AUG,18,Alexis,2,7,101216.92,93073.46,8143.46,32663,24519.47,8143.53,2443.1,2035.92,407.18
AUG,18,Algonquin,15,66,2102918.75,1938109.6,164809.15,657302,492492.79,164809.21,49443.43,41202.87,8240.56
AUG,18,Alhambra,2,5,101536.67,92197.2,9339.47,35072,25732.53,9339.47,2801.91,2334.92,466.99
AUG,18,Alorton,2,10,1376977.6,1261867.35,115110.25,444110,328873.61,115236.39,34571,28809.17,5761.83
AUG,18,Alsey,2,9,309967.72,283752.98,26214.74,98053,71838.26,26214.74,7864.51,6553.76,1310.75
AUG,18,Alsip,13,65,5303522.46,4880980.54,422541.92,1687341,1264336.74,423004.26,126901.84,105751.54,21150.3
AUG,18,Altamont,7,31,837705.81,774705.5,63000.31,238534,175526.4,63007.6,18902.68,15752.22,3150.46
AUG,18,Alton,33,141,6930761.83,6363950.08,566811.75,2082729,1515917.27,566811.73,170044.58,141703.86,28340.72
AUG,18,Altona,1,5,141166.43,126407.82,14758.61,44432,29671.07,14760.93,4428.35,3690.29,738.06
AUG,18,Amboy,6,28,1192771.4,1098298.42,94472.98,375225,280751.7,94473.3,28342.32,23618.6,4723.72
AUG,18,Andalusia,1,4,51959.74,46632.37,5327.37,14821,9493.61,5327.39,1598.21,1331.85,266.36
AUG,18,Anna,9,42,1265738.59,1160579.22,105159.37,385682,280522.89,105159.11,31548.19,26290.17,5258.02
AUG,18,Annawan,3,15,863476.34,809153.78,54322.56,265403,211078.29,54324.71,16297.55,13581.3,2716.25
AUG,18,Antioch,13,58,4450321.65,4102948.82,347372.83,1392280,1044906.94,347373.06,104212.44,86843.71,17368.73
AUG,18,Arcola,3,13,562712.21,518207.98,44504.23,177588,133083.04,44504.96,13351.58,11126.33,2225.25
AUG,18,Arenzville,1,2,36525.16,32819.61,3705.55,13653,9947.54,3705.46,1111.63,926.36,185.27
AUG,18,Argenta,2,10,273650.59,259024.25,14626.34,78685,64058.51,14626.49,4388.01,3656.68,731.33
AUG,18,Arlington,1,4,135882.83,126859.94,9022.89,36190,27167.11,9022.89,2706.9,2255.76,451.14
AUG,18,Aroma Park,4,15,753297,699504.14,53792.86,239550,185757.09,53792.91,16137.94,13448.28,2689.66
AUG,18,Arthur,3,14,416448.38,380675.25,35773.13,140187,104414,35773,10732.01,8943.34,1788.67
AUG,18,Ashkum,2,6,243440.64,231896.05,11544.59,75957,64412.41,11544.59,3463.47,2886.23,577.24
AUG,18,Ashland,2,9,190975.24,174385.5,16589.74,60285,43695.51,16589.49,4977.03,4147.52,829.51
AUG,18,Ashley,3,15,377078.86,343479.55,33599.31,119649,86049.54,33599.46,10080.02,8400.02,1680
AUG,18,Ashmore,3,15,642017.45,588634.95,53382.5,179235,125852.41,53382.59,16014.85,13345.71,2669.14
AUG,18,Ashton,3,15,507469.56,464054.58,43414.98,147391,103976.17,43414.83,13024.59,10853.83,2170.76
AUG,18,Assumption,4,19,301981.61,273881.78,28099.83,94700,66599.71,28100.29,8430.22,7025.19,1405.03
AUG,18,Astoria,1,3,59559.96,55751.25,3808.71,15404,11595.29,3808.71,1142.61,952.18,190.43
AUG,18,Athens,4,19,684594.19,635090.34,49503.85,204202,154697.03,49504.97,14851.76,12376.48,2475.28
AUG,18,Atlanta,4,16,342685.32,309496.27,33189.05,103660,70471.75,33188.25,9956.76,8297.32,1659.44
AUG,18,Atwood,2,10,603099.13,548003.71,55095.42,172097,117001.54,55095.46,16528.73,13773.95,2754.78
AUG,18,Auburn,8,32,1073836.31,979252.24,94584.07,325930,231345.96,94584.04,28375.48,23646.24,4729.24
AUG,18,Augusta,3,10,223671.16,204894.37,18776.79,69437,50660.21,18776.79,5633.08,4694.24,938.84
AUG,18,Aurora,33,151,8729833.77,8005181.79,724651.98,2722712,1998053.23,724658.77,217398.93,181165.8,36233.13
AUG,18,Ava,2,7,154253.41,137794.1,16459.31,42229,25769.57,16459.43,4937.88,4114.9,822.98
AUG,18,Aviston,3,9,208690.2,189494.56,19195.64,65805,46608.7,19196.3,5758.97,4799.15,959.82
AUG,18,Avon,2,9,482694.59,440325.22,42369.37,135288,92919.38,42368.62,12710.65,10592.21,2118.44
AUG,18,Baldwin,2,5,62349.03,56050.37,6298.66,23234,16934.75,6299.25,1889.79,1574.83,314.96
AUG,18,Banner,2,8,287570.1,269416.85,18153.25,99622,81468.75,18153.25,5446.11,4538.42,907.69
AUG,18,Barry,5,22,605800.09,550830.69,54969.4,179280,124355.07,54924.93,16477.58,13731.32,2746.26
AUG,18,Bartelso,4,11,151783.12,141120.26,10662.86,49500,38836.9,10663.1,3199,2665.84,533.16
AUG,18,Bartlett,12,55,4226226.56,3912586.41,313640.15,1344205,1030553.95,313651.05,94095.85,78413.22,15682.63
